gene	PC1	PC2	PC3	PC4
ARMC9	0.0079549455	0.0017325491	0.018072995	0.0030295719
ARNT2	0.028822705	-0.020822288	-0.0022976663	-0.021619637
ARPP21	0.029611847	-0.0084415236	-0.0010261184	0.0017269324
ARSL	-0.0084787869	-0.014837695	0.02231305	0.031987888
ART4	0.018603336	0.009366748	-0.0038554118	0.0091475146
ASCL1	0.013357763	-0.0084859291	0.024511676	0.032246312
ASS1	-0.011906145	0.0013389379	-0.021783104	0.022408618
ASTN1	0.031152053	-0.014281016	-0.0038487618	-0.0061447059
ATCAY	0.032616283	-0.0099575147	-0.0029844472	-0.0064779182
ATG9B	0.0094655295	0.00097028357	-0.00066031238	-0.0075693002
ATL1	0.024202261	-0.016495351	0.0065930605	0.002149315
ATOH8	0.0081208549	-0.014577303	0.043003679	0.020497421
ATP13A4	0.0067241741	-0.016547688	0.047011644	-0.016504438
ATP1A2	0.054074805	-0.02138	-0.008285225	-0.010802933
ATP1B2	0.064317175	-0.023497903	-0.0076832829	-0.0068650727
ATP2A3	0.012144583	0.029468156	0.018705204	0.035273345
ATP2B1	0.015922746	-0.01381949	-0.035694365	0.011775222
ATP2B2	0.036993555	-0.011976274	-0.0029115966	-0.0010088409
ATP2C2	-0.002400018	-0.017597393	0.032470653	0.040301568
ATP6V0D2	0.017858704	0.0083446891	0.0068501971	0.014923348
ATP6V0E2	0.021242464	-0.032070775	-0.0039965878	-0.015415213
ATP6V1C2	0.0092254951	0.0062391941	-0.001424966	0.012476364
ATP6V1G2	0.036876439	-0.016828594	0.005830794	0.00054056598
ATP8A1	0.024028578	-0.01272787	0.046381606	0.012936556
ATP8A2	0.033032547	-0.010416573	-0.0036988396	-0.003441134
ATRNL1	0.041205522	-0.018614202	-0.0061410756	-0.013137397
AVPI1	0.00062486373	-0.0048762619	-0.02356363	0.034212263
AZGP1	-0.010409681	-0.01304769	0.041849795	-0.0088216169
B3GALT2	0.02425445	-0.0096556782	0.0075047347	0.005956912
B3GNT3	-0.018788375	-0.016276045	-0.020400643	0.011399645
B3GNT5	-0.01075235	-0.0059600807	-0.03855094	-0.010702435
B3GNT6	-0.0052108671	-0.0013583748	0.038872321	-0.013154312
B4GAT1	0.033534558	-0.019682861	-0.005449745	-0.0057706122
BAALC	0.03607393	-0.024693288	0.020307311	0.0096113053
BAAT	0.016841996	0.00061905859	0.01696532	0.011991009
BAIAP3	0.019643046	-0.023468302	0.012847253	-0.0072270685
BAMBI	0.0070699462	-0.0059765276	-0.011751762	0.022415319
BANK1	0.012286592	0.011612278	0.011086072	0.014494163
BARX1	0.0076458181	-0.0072141674	0.02620005	0.035755648
BAZ1A	-0.013423862	0.00014566276	0.013010186	-0.01828907
BCAN	0.033982989	-0.018713201	-0.0027393384	-0.0047832237
BCAR3	-0.0061711918	0.0055301433	-0.018885256	-0.011038036
BCAT1	0.007644522	0.025392747	0.018672558	-0.022417475
BEND6	0.021694987	0.0020918504	0.0033470577	-0.0027698447
BEX1	0.037307098	-0.026205814	-0.0036729567	-0.012413196
BEX5	0.03194249	-0.0093601809	-0.003167418	-0.011010592
BHLHA15	0.0077114982	0.011978656	0.023571141	0.028952828
BHMT2	0.011495067	-0.0097350369	0.013657875	0.015404151
BIRC3	-0.0059198756	0.020307337	-0.033741492	0.011405726
BLID	0.012420016	0.010604523	0.012125729	-0.021990068
BMI1	-0.0061164252	0.0028414364	-0.011184399	-0.028949886
BMP7	0.019967403	0.00031631794	-0.0023356199	0.011525603
BMPER	0.016735256	-0.00098564685	0.0067858047	-0.0017739163
BNC1	0.016741707	0.0098075699	-0.0024841258	0.010042374
BPIFA1	0.0043687123	-0.02101362	0.064701779	0.069162922
BPIFB1	0.0060356513	-0.0074461961	0.029481545	0.0454045
BPIFB2	0.013546823	-0.0012276143	0.023477358	0.026798618
BRSK1	0.031922873	-0.013584532	0.0069723051	-0.010827644
BSCL2	0.015263096	-0.021729633	-0.0010109084	-0.0060207287
BSN	0.035647933	-0.012588138	-0.0008685203	-0.003095596
BTC	0.0078356065	0.015764362	0.014583204	0.022284026
BTG4	0.01746795	0.0047648007	0.0042043831	0.011973603
BTNL3	0.01336284	-0.0013445545	0.014462649	0.018311683
BZW2	-0.025141505	-0.0130725	-0.016142358	-0.005624794
C11orf91	0.013231947	0.0057557991	-0.011181902	0.00028616784
C12orf75	0.0016070699	-0.011443394	-0.017364392	0.016515251
C13orf46	0.012876378	0.0065665348	0.0059407422	0.025414379
C14orf132	0.031320429	-0.0037263766	0.00018445618	-0.0007617858
C16orf89	0.0027558739	-0.003542652	0.077761781	0.0093216984
C1QA	0.019989269	0.081640331	-0.024944395	-0.026104432
C1QL1	0.019118887	0.0079271833	0.0068890229	0.0071035283
C1QL3	0.026560715	-0.026555076	-0.0022024948	-0.0067041895
