interaction_name	interaction_name_2	pathway_name	annotation	site	direction	ligand	receptor	ligand_subunits	receptor_subunits	ligand_aoi_code	receptor_aoi_code	is_one_to_one	table	ligand_on_panel	receptor_on_panel	ligand_detection	receptor_detection	ligand_min_detection_rate	receptor_min_detection_rate	admitted	status	ligand_secreted_type	ligand_transmembrane	receptor_transmembrane	evidence
TGFB1_ACVR1_TGFBR1	TGFB1 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	brain	ligand_immune__receptor_tumour	TGFB1	ACVR1_TGFbR	TGFB1	ACVR1;TGFBR1;TGFBR2	TIME-B	LB	False	exploratory	True	True	TGFB1:8/8	ACVR1:23/27;TGFBR1:10/27;TGFBR2:23/27	1.0	0.37037037037037035	False	below_detection_floor	growth factor	False	True	PMID: 29376829
TGFB1_ACVR1_TGFBR1	TGFB1 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	lung	ligand_tumour__receptor_immune	TGFB1	ACVR1_TGFbR	TGFB1	ACVR1;TGFBR1;TGFBR2	L	TIME-L	False	exploratory	True	True	TGFB1:27/30	ACVR1:9/15;TGFBR1:10/15;TGFBR2:15/15	0.9	0.6	True	admitted	growth factor	False	True	PMID: 29376829
TGFB1_ACVR1_TGFBR1	TGFB1 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	lung	ligand_immune__receptor_tumour	TGFB1	ACVR1_TGFbR	TGFB1	ACVR1;TGFBR1;TGFBR2	TIME-L	L	False	exploratory	True	True	TGFB1:15/15	ACVR1:23/30;TGFBR1:11/30;TGFBR2:28/30	1.0	0.36666666666666664	False	below_detection_floor	growth factor	False	True	PMID: 29376829
TGFB2_ACVR1_TGFBR1	TGFB2 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	brain	ligand_tumour__receptor_immune	TGFB2	ACVR1_TGFbR	TGFB2	ACVR1;TGFBR1;TGFBR2	LB	TIME-B	False	exploratory	True	True	TGFB2:8/27	ACVR1:5/8;TGFBR1:2/8;TGFBR2:8/8	0.2962962962962963	0.25	False	below_detection_floor	growth factor	False	True	PMID: 29376829
TGFB2_ACVR1_TGFBR1	TGFB2 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	brain	ligand_immune__receptor_tumour	TGFB2	ACVR1_TGFbR	TGFB2	ACVR1;TGFBR1;TGFBR2	TIME-B	LB	False	exploratory	True	True	TGFB2:1/8	ACVR1:23/27;TGFBR1:10/27;TGFBR2:23/27	0.125	0.37037037037037035	False	below_detection_floor	growth factor	False	True	PMID: 29376829
TGFB2_ACVR1_TGFBR1	TGFB2 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	lung	ligand_tumour__receptor_immune	TGFB2	ACVR1_TGFbR	TGFB2	ACVR1;TGFBR1;TGFBR2	L	TIME-L	False	exploratory	True	True	TGFB2:8/30	ACVR1:9/15;TGFBR1:10/15;TGFBR2:15/15	0.26666666666666666	0.6	False	below_detection_floor	growth factor	False	True	PMID: 29376829
TGFB2_ACVR1_TGFBR1	TGFB2 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	lung	ligand_immune__receptor_tumour	TGFB2	ACVR1_TGFbR	TGFB2	ACVR1;TGFBR1;TGFBR2	TIME-L	L	False	exploratory	True	True	TGFB2:0/15	ACVR1:23/30;TGFBR1:11/30;TGFBR2:28/30	0.0	0.36666666666666664	False	below_detection_floor	growth factor	False	True	PMID: 29376829
TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	brain	ligand_tumour__receptor_immune	TGFB3	ACVR1_TGFbR	TGFB3	ACVR1;TGFBR1;TGFBR2	LB	TIME-B	False	exploratory	True	True	TGFB3:2/27	ACVR1:5/8;TGFBR1:2/8;TGFBR2:8/8	0.07407407407407407	0.25	False	below_detection_floor	cytokine;growth factor	True	True	PMID: 29376829
TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	brain	ligand_immune__receptor_tumour	TGFB3	ACVR1_TGFbR	TGFB3	ACVR1;TGFBR1;TGFBR2	TIME-B	LB	False	exploratory	True	True	TGFB3:5/8	ACVR1:23/27;TGFBR1:10/27;TGFBR2:23/27	0.625	0.37037037037037035	False	below_detection_floor	cytokine;growth factor	True	True	PMID: 29376829
TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	lung	ligand_tumour__receptor_immune	TGFB3	ACVR1_TGFbR	TGFB3	ACVR1;TGFBR1;TGFBR2	L	TIME-L	False	exploratory	True	True	TGFB3:3/30	ACVR1:9/15;TGFBR1:10/15;TGFBR2:15/15	0.1	0.6	False	below_detection_floor	cytokine;growth factor	True	True	PMID: 29376829
TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	lung	ligand_immune__receptor_tumour	TGFB3	ACVR1_TGFbR	TGFB3	ACVR1;TGFBR1;TGFBR2	TIME-L	L	False	exploratory	True	True	TGFB3:7/15	ACVR1:23/30;TGFBR1:11/30;TGFBR2:28/30	0.4666666666666667	0.36666666666666664	False	below_detection_floor	cytokine;growth factor	True	True	PMID: 29376829
BMP2_BMPR1A_ACVR2A	BMP2 - (BMPR1A+ACVR2A)	BMP	Secreted Signaling	brain	ligand_tumour__receptor_immune	BMP2	BMPR1A_ACVR2A	BMP2	BMPR1A;ACVR2A	LB	TIME-B	False	exploratory	True	True	BMP2:9/27	BMPR1A:2/8;ACVR2A:0/8	0.3333333333333333	0.0	False	below_detection_floor	cytokine;growth factor	False	True	KEGG: hsa04350; PMID:26893264
BMP2_BMPR1A_ACVR2A	BMP2 - (BMPR1A+ACVR2A)	BMP	Secreted Signaling	brain	ligand_immune__receptor_tumour	BMP2	BMPR1A_ACVR2A	BMP2	BMPR1A;ACVR2A	TIME-B	LB	False	exploratory	True	True	BMP2:0/8	BMPR1A:19/27;ACVR2A:5/27	0.0	0.18518518518518517	False	below_detection_floor	cytokine;growth factor	False	True	KEGG: hsa04350; PMID:26893264
BMP2_BMPR1A_ACVR2A	BMP2 - (BMPR1A+ACVR2A)	BMP	Secreted Signaling	lung	ligand_tumour__receptor_immune	BMP2	BMPR1A_ACVR2A	BMP2	BMPR1A;ACVR2A	L	TIME-L	False	exploratory	True	True	BMP2:12/30	BMPR1A:7/15;ACVR2A:1/15	0.4	0.06666666666666667	False	below_detection_floor	cytokine;growth factor	False	True	KEGG: hsa04350; PMID:26893264
BMP2_BMPR1A_ACVR2A	BMP2 - (BMPR1A+ACVR2A)	BMP	Secreted Signaling	lung	ligand_immune__receptor_tumour	BMP2	BMPR1A_ACVR2A	BMP2	BMPR1A;ACVR2A	TIME-L	L	False	exploratory	True	True	BMP2:2/15	BMPR1A:18/30;ACVR2A:5/30	0.13333333333333333	0.16666666666666666	False	below_detection_floor	cytokine;growth factor	False	True	KEGG: hsa04350; PMID:26893264
BMP2_BMPR1A_ACVR2B	BMP2 - (BMPR1A+ACVR2B)	BMP	Secreted Signaling	brain	ligand_tumour__receptor_immune	BMP2	BMPR1A_ACVR2B	BMP2	BMPR1A;ACVR2B	LB	TIME-B	False	exploratory	True	True	BMP2:9/27	BMPR1A:2/8;ACVR2B:0/8	0.3333333333333333	0.0	False	below_detection_floor	cytokine;growth factor	False	True	KEGG: hsa04350; PMID:26893264
BMP2_BMPR1A_ACVR2B	BMP2 - (BMPR1A+ACVR2B)	BMP	Secreted Signaling	brain	ligand_immune__receptor_tumour	BMP2	BMPR1A_ACVR2B	BMP2	BMPR1A;ACVR2B	TIME-B	LB	False	exploratory	True	True	BMP2:0/8	BMPR1A:19/27;ACVR2B:0/27	0.0	0.0	False	below_detection_floor	cytokine;growth factor	False	True	KEGG: hsa04350; PMID:26893264
BMP2_BMPR1A_ACVR2B	BMP2 - (BMPR1A+ACVR2B)	BMP	Secreted Signaling	lung	ligand_tumour__receptor_immune	BMP2	BMPR1A_ACVR2B	BMP2	BMPR1A;ACVR2B	L	TIME-L	False	exploratory	True	True	BMP2:12/30	BMPR1A:7/15;ACVR2B:0/15	0.4	0.0	False	below_detection_floor	cytokine;growth factor	False	True	KEGG: hsa04350; PMID:26893264
BMP2_BMPR1A_ACVR2B	BMP2 - (BMPR1A+ACVR2B)	BMP	Secreted Signaling	lung	ligand_immune__receptor_tumour	BMP2	BMPR1A_ACVR2B	BMP2	BMPR1A;ACVR2B	TIME-L	L	False	exploratory	True	True	BMP2:2/15	BMPR1A:18/30;ACVR2B:2/30	0.13333333333333333	0.06666666666666667	False	below_detection_floor	cytokine;growth factor	False	True	KEGG: hsa04350; PMID:26893264
BMP2_BMPR1A_BMPR2	BMP2 - (BMPR1A+BMPR2)	BMP	Secreted Signaling	brain	ligand_tumour__receptor_immune	BMP2	BMPR1A_BMPR2	BMP2	BMPR1A;BMPR2	LB	TIME-B	False	exploratory	True	True	BMP2:9/27	BMPR1A:2/8;BMPR2:8/8	0.3333333333333333	0.25	False	below_detection_floor	cytokine;growth factor	False	True	KEGG: hsa04350; PMID:26893264
BMP2_BMPR1A_BMPR2	BMP2 - (BMPR1A+BMPR2)	BMP	Secreted Signaling	brain	ligand_immune__receptor_tumour	BMP2	BMPR1A_BMPR2	BMP2	BMPR1A;BMPR2	TIME-B	LB	False	exploratory	True	True	BMP2:0/8	BMPR1A:19/27;BMPR2:24/27	0.0	0.7037037037037037	False	below_detection_floor	cytokine;growth factor	False	True	KEGG: hsa04350; PMID:26893264
BMP2_BMPR1A_BMPR2	BMP2 - (BMPR1A+BMPR2)	BMP	Secreted Signaling	lung	ligand_tumour__receptor_immune	BMP2	BMPR1A_BMPR2	BMP2	BMPR1A;BMPR2	L	TIME-L	False	exploratory	True	True	BMP2:12/30	BMPR1A:7/15;BMPR2:14/15	0.4	0.4666666666666667	False	below_detection_floor	cytokine;growth factor	False	True	KEGG: hsa04350; PMID:26893264
BMP2_BMPR1A_BMPR2	BMP2 - (BMPR1A+BMPR2)	BMP	Secreted Signaling	lung	ligand_immune__receptor_tumour	BMP2	BMPR1A_BMPR2	BMP2	BMPR1A;BMPR2	TIME-L	L	False	exploratory	True	True	BMP2:2/15	BMPR1A:18/30;BMPR2:30/30	0.13333333333333333	0.6	False	below_detection_floor	cytokine;growth factor	False	True	KEGG: hsa04350; PMID:26893264
BMP2_BMPR1B_ACVR2A	BMP2 - (BMPR1B+ACVR2A)	BMP	Secreted Signaling	brain	ligand_tumour__receptor_immune	BMP2	BMPR1B_ACVR2A	BMP2	BMPR1B;ACVR2A	LB	TIME-B	False	exploratory	True	True	BMP2:9/27	BMPR1B:1/8;ACVR2A:0/8	0.3333333333333333	0.0	False	below_detection_floor	cytokine;growth factor	False	True	KEGG: hsa04350; PMID:26893264
BMP2_BMPR1B_ACVR2A	BMP2 - (BMPR1B+ACVR2A)	BMP	Secreted Signaling	brain	ligand_immune__receptor_tumour	BMP2	BMPR1B_ACVR2A	BMP2	BMPR1B;ACVR2A	TIME-B	LB	False	exploratory	True	True	BMP2:0/8	BMPR1B:0/27;ACVR2A:5/27	0.0	0.0	False	below_detection_floor	cytokine;growth factor	False	True	KEGG: hsa04350; PMID:26893264
BMP2_BMPR1B_ACVR2A	BMP2 - (BMPR1B+ACVR2A)	BMP	Secreted Signaling	lung	ligand_tumour__receptor_immune	BMP2	BMPR1B_ACVR2A	BMP2	BMPR1B;ACVR2A	L	TIME-L	False	exploratory	True	True	BMP2:12/30	BMPR1B:0/15;ACVR2A:1/15	0.4	0.0	False	below_detection_floor	cytokine;growth factor	False	True	KEGG: hsa04350; PMID:26893264
