task	stratum	gene	model	formula	term	estimate	std_error	df	ci_low	ci_high	t_value	p_raw	is_singular	n_obs	n_patient	group_reference	group_test	aoi_code_reference	aoi_code_test	n_reference	n_test	n_detected_reference	n_detected_test	detection_rate_reference	detection_rate_test	assessable_reference	assessable_test	background_reference	background_test	background_delta	gradient_direction	status	note	df_method	warnings	messages	in_primary	delta_vs_primary
P3-T3	lung	CD274	batch_sensitivity	expression ~ compartment + dsp_run + (1|patient_id)	immune_vs_tumour	0.599206615142534	0.122401892434358	17.3298528444665	0.341335124424701	0.857078105860368	4.89540319373641	0.00012936669443372	FALSE	45	30	tumour	immune	L	TIME-L	30	15	19	13	0.633333333333333	0.866666666666667	TRUE	TRUE	4.91207571629686	5.32300971061281	0.410933994315958	permissive	exploratory		satterthwaite			TRUE	-0.0128705518699517
P3-T3	lung	CD276	batch_sensitivity	expression ~ compartment + dsp_run + (1|patient_id)	immune_vs_tumour	0.160456516850885	0.137972358716282	16.57740609228	-0.131206021279732	0.452119054981503	1.16296132315052	0.261313273864493	FALSE	45	30	tumour	immune	L	TIME-L	30	15	29	15	0.966666666666667	1	TRUE	TRUE	4.91207571629686	5.32300971061281	0.410933994315958	permissive	exploratory		satterthwaite			TRUE	0.013677341412895
P3-T3	lung	CTLA4	batch_sensitivity	expression ~ compartment + dsp_run + (1|patient_id)	immune_vs_tumour	1.42313401871241	0.124506742268662	41.9999999989144	1.1718692402623	1.67439879716252	11.4301763324717	1.79033004247022e-14	TRUE	45	30	tumour	immune	L	TIME-L	30	15	2	10	0.0666666666666667	0.666666666666667	FALSE	TRUE	4.91207571629686	5.32300971061281	0.410933994315958	permissive	exploratory		satterthwaite		boundary (singular) fit: see help('isSingular')	FALSE	-0.00195486896915709
P3-T3	lung	HAVCR2	batch_sensitivity	expression ~ compartment + dsp_run + (1|patient_id)	immune_vs_tumour	0.939414316710801	0.131191565204241	34.1939879893146	0.672856680499234	1.20597195292237	7.16063045096158	2.70958907203086e-08	FALSE	45	30	tumour	immune	L	TIME-L	30	15	2	10	0.0666666666666667	0.666666666666667	FALSE	TRUE	4.91207571629686	5.32300971061281	0.410933994315958	permissive	exploratory		satterthwaite			FALSE	-0.0231506972090775
P3-T3	lung	IDO1	batch_sensitivity	expression ~ compartment + dsp_run + (1|patient_id)	immune_vs_tumour	0.459528123954966	0.261905308397731	26.1606319649526	-0.0786651097987804	0.997721357708712	1.75455826675007	0.0910427935578891	FALSE	45	30	tumour	immune	L	TIME-L	30	15	9	8	0.3	0.533333333333333	FALSE	TRUE	4.91207571629686	5.32300971061281	0.410933994315958	permissive	exploratory		satterthwaite			FALSE	-0.064153815265631
P3-T3	lung	PDCD1	batch_sensitivity	expression ~ compartment + dsp_run + (1|patient_id)	immune_vs_tumour	0.371738823779504	0.103670490121702	41.9999999988825	0.162523304542511	0.580954343016497	3.58577280133533	0.000869186034972562	TRUE	45	30	tumour	immune	L	TIME-L	30	15	12	8	0.4	0.533333333333333	FALSE	TRUE	4.91207571629686	5.32300971061281	0.410933994315958	permissive	exploratory		satterthwaite		boundary (singular) fit: see help('isSingular')	FALSE	-0.0366950278076532
P3-T3	lung	TIGIT	batch_sensitivity	expression ~ compartment + dsp_run + (1|patient_id)	immune_vs_tumour	1.01102649317986	0.139579371778961	41.9999999994634	0.729343916901743	1.29270906945799	7.24338045295785	6.53487995996205e-09	TRUE	45	30	tumour	immune	L	TIME-L	30	15	0	8	0	0.533333333333333	FALSE	TRUE	4.91207571629686	5.32300971061281	0.410933994315958	permissive	exploratory		satterthwaite		boundary (singular) fit: see help('isSingular')	FALSE	-0.0253134228231835
P3-T3	lung	VSIR	batch_sensitivity	expression ~ compartment + dsp_run + (1|patient_id)	immune_vs_tumour	1.3089885239381	0.135006117717795	41.9999999995273	1.03653514800318	1.58144189987303	9.6957719106796	2.7990084897104e-12	TRUE	45	30	tumour	immune	L	TIME-L	30	15	8	14	0.266666666666667	0.933333333333333	FALSE	TRUE	4.91207571629686	5.32300971061281	0.410933994315958	permissive	exploratory		satterthwaite		boundary (singular) fit: see help('isSingular')	FALSE	-0.0267793865013168
P3-T3	lung	CD274	primary	expression ~ compartment + (1|patient_id)	immune_vs_tumour	0.612077167012486	0.119682168718897	18.2038394220198	0.36083592694904	0.863318407075932	5.11418846737396	7.0127941645698e-05	FALSE	45	30	tumour	immune	L	TIME-L	30	15	19	13	0.633333333333333	0.866666666666667	TRUE	TRUE	4.91207571629686	5.32300971061281	0.410933994315958	permissive	exploratory		satterthwaite			TRUE	
P3-T3	lung	CD276	primary	expression ~ compartment + (1|patient_id)	immune_vs_tumour	0.146779175437991	0.133568885719136	14.590103694664	-0.138614376303975	0.432172727179956	1.09890244758523	0.289613926502889	FALSE	45	30	tumour	immune	L	TIME-L	30	15	29	15	0.966666666666667	1	TRUE	TRUE	4.91207571629686	5.32300971061281	0.410933994315958	permissive	exploratory		satterthwaite			TRUE	
P3-T3	lung	CTLA4	primary	expression ~ compartment + (1|patient_id)	immune_vs_tumour	1.42508888768157	0.121930500103541	42.9999999993473	1.1791925992747	1.67098517608844	11.6877146117781	6.17967346176821e-15	TRUE	45	30	tumour	immune	L	TIME-L	30	15	2	10	0.0666666666666667	0.666666666666667	FALSE	TRUE	4.91207571629686	5.32300971061281	0.410933994315958	permissive	exploratory		satterthwaite		boundary (singular) fit: see help('isSingular')	FALSE	
P3-T3	lung	HAVCR2	primary	expression ~ compartment + (1|patient_id)	immune_vs_tumour	0.962565013919878	0.13049312266732	33.0473287568649	0.697089203196096	1.22804082464366	7.37636585166138	1.78217086366093e-08	FALSE	45	30	tumour	immune	L	TIME-L	30	15	2	10	0.0666666666666667	0.666666666666667	FALSE	TRUE	4.91207571629686	5.32300971061281	0.410933994315958	permissive	exploratory		satterthwaite			FALSE	
P3-T3	lung	IDO1	primary	expression ~ compartment + (1|patient_id)	immune_vs_tumour	0.523681939220597	0.264543228920686	25.2029879192443	-0.0209326202747943	1.06829649871599	1.97957037629417	0.0587724600179317	FALSE	45	30	tumour	immune	L	TIME-L	30	15	9	8	0.3	0.533333333333333	FALSE	TRUE	4.91207571629686	5.32300971061281	0.410933994315958	permissive	exploratory		satterthwaite			FALSE	
P3-T3	lung	PDCD1	primary	expression ~ compartment + (1|patient_id)	immune_vs_tumour	0.408433851587157	0.107375518263097	24.9563277495892	0.187270207853617	0.629597495320698	3.80378933851936	0.000820482805755066	FALSE	45	30	tumour	immune	L	TIME-L	30	15	12	8	0.4	0.533333333333333	FALSE	TRUE	4.91207571629686	5.32300971061281	0.410933994315958	permissive	exploratory		satterthwaite			FALSE	
P3-T3	lung	TIGIT	primary	expression ~ compartment + (1|patient_id)	immune_vs_tumour	1.03633991600305	0.139542330256709	42.9999999989051	0.754925987112064	1.31775384489403	7.42670639150534	3.11866868895088e-09	TRUE	45	30	tumour	immune	L	TIME-L	30	15	0	8	0	0.533333333333333	FALSE	TRUE	4.91207571629686	5.32300971061281	0.410933994315958	permissive	exploratory		satterthwaite		boundary (singular) fit: see help('isSingular')	FALSE	
P3-T3	lung	VSIR	primary	expression ~ compartment + (1|patient_id)	immune_vs_tumour	1.33576791043942	0.135509022082018	42.9999999995818	1.06248792268155	1.60904789819729	9.85740941758797	1.33246085611279e-12	TRUE	45	30	tumour	immune	L	TIME-L	30	15	8	14	0.266666666666667	0.933333333333333	FALSE	TRUE	4.91207571629686	5.32300971061281	0.410933994315958	permissive	exploratory		satterthwaite		boundary (singular) fit: see help('isSingular')	FALSE	
