complex_name	subunits	n_subunits
ITGA2_ITGB1	ITGA2;ITGB1	2
ITGA2B_ITGB3	ITGA2B;ITGB3	2
ITGA3_ITGB1	ITGA3;ITGB1	2
ITGA4_ITGB1	ITGA4;ITGB1	2
ITGA4_ITGB7	ITGA4;ITGB7	2
ITGA5_ITGB1	ITGA5;ITGB1	2
ITGA6_ITGB1	ITGA6;ITGB1	2
ITGA6_ITGB4	ITGA6;ITGB4	2
ITGA7_ITGB1	ITGA7;ITGB1	2
ITGA8_ITGB1	ITGA8;ITGB1	2
ITGA9_ITGB1	ITGA9;ITGB1	2
ITGAE_ITGB7	ITGAE;ITGB7	2
ITGAL_ITGB2	ITGAL;ITGB2	2
ITGAM_ITGB2	ITGAM;ITGB2	2
ITGAV_ITGB1	ITGAV;ITGB1	2
ITGAV_ITGB3	ITGAV;ITGB3	2
ITGAV_ITGB5	ITGAV;ITGB5	2
ITGAV_ITGB6	ITGAV;ITGB6	2
ITGAV_ITGB8	ITGAV;ITGB8	2
ITGAX_ITGB2	ITGAX;ITGB2	2
ITGB1_ITGA1	ITGB1;ITGA1	2
KLRD1_KLRC1	KLRD1;KLRC1	2
KLRD1_KLRC2	KLRD1;KLRC2	2
KLRK1_HCST	KLRK1;HCST	2
LIFR_IL6ST	LIFR;IL6ST	2
Npnt complex 1	NPNT;FRAS1;FREM1	3
Npnt complex 2	NPNT;FRAS1;FREM2	3
NRP1_NRP2	NRP1;NRP2;PLXND1	3
NRP1_PLXNA1	NRP1;PLXNA1	2
NRP1_PLXNA2	NRP1;PLXNA2	2
NRP1_PLXNA3	NRP1;PLXNA3	2
NRP1_PLXNA4	NRP1;PLXNA4	2
NRP2_PLXNA1	NRP2;PLXNA1	2
NRP2_PLXNA2	NRP2;PLXNA2	2
NRP2_PLXNA3	NRP2;PLXNA3	2
NRP2_PLXNA4	NRP2;PLXNA4	2
OSMR_IL6ST	OSMR;IL6ST	2
PLXNA1_KDR	PLXNA1;KDR	2
PLXNA1_TREM2	PLXNA1;TREM2;TYROBP	3
PTCH1_SMO	PTCH1;SMO	2
PTCH2_SMO	PTCH2;SMO	2
TGFBR1_ACVR2A	TGFBR1;ACVR2A	2
TGFBR1_ACVR2B	TGFBR1;ACVR2B	2
TGFbR1_R2	TGFBR1;TGFBR2	2
CD94:NKG2A	KLRD1;KLRC1	2
CD94:NKG2C	KLRD1;KLRC2	2
CD94:NKG2E	KLRD1;KLRC3	2
CALCRL_RAMP1	CALCR;RAMP1	2
CALCRL_RAMP2	CALCR;RAMP2	2
CALCRL_RAMP3	CALCR;RAMP3	2
PROCR_HSP90AA1	PROCR;HSP90AA1	2
PROCR_F2R	PROCR;F2R	2
ITGAD_ITGB2	ITGAD;ITGB2	2
TENM2_FLRT1	TENM2;FLRT1	2
TENM2_FLRT3	TENM2;FLRT3	2
TENM4_FLRT1	TENM4;FLRT1	2
TENM4_FLRT3	TENM4;FLRT3	2
TENM3_FLRT1	TENM3;FLRT1	2
TENM3_FLRT3	TENM3;FLRT3	2
GPHB5_GPHA2	GPHB5;GPHA2	2
CGA_TSHB	CGA;TSHB	2
NKG2D_HCST	KLRK1;HCST	2
AMHR2_BMPR1B	AMHR2;BMPR1B	2
CALCR_RAMP1	CALCR;RAMP1	2
CALCR_RAMP2	CALCR;RAMP2	2
CALCR_RAMP3	CALCR;RAMP3	2
BCR_CD45_CD22	BCR;PTPRC;CD22	3
CUBN_AMN	AMN;CUBN	2
12oxoLTB4-PTGR1	PTGR1	1
22HC-CYP11A1	CYP11A1	1
22HC-CYP3A4	CYP3A4	1
2AG-DAGLA	DAGLA	1
2AG-DAGLB	DAGLB	1
5alphaP-DHRS9	DHRS9	1
TREM2_TYROBP	TREM2;TYROBP	2
CHRN_A3B4	CHRNA3;CHRNB4	2
CHRN_A4B2	CHRNA4;CHRNB2	2
Aldo-CYP11B2	CYP11B2	1
Androstenedione-CYP17A1	CYP17A1	1
Androsterone-HSD17B6	HSD17B6	1
RA-ALDH1A1	ALDH1A1;ALDH1A1	2
RARA_CRABP2	RARA;CRABP2	2
RARA_RXRA_CRABP2	RARA;RXRA;CRABP2	3
RARB_CRABP2	RARB;CRABP2	2
RARB_RXRB_CRABP2	RARB;RXRB;CRABP2	3
RARG_CRABP2	RARG;CRABP2	2
RARG_RXRG_CRABP2	RARG;RXRG;CRABP2	3
RXRA_CRABP2	RXRA;CRABP2	2
RXRB_CRABP2	RXRB;CRABP2	2
RXRG_CRABP2	RXRG;CRABP2	2
RA-ALDH1A2	ALDH1A2	1
RA-ALDH1A3	ALDH1A3	1
Calcitriol-CYP27B1	CYP27B1	1
Cholesterol-CEL	CEL	1
Cholesterol-DHCR24	DHCR24	1
Cholesterol-DHCR7	DHCR7	1
Cholesterol-LIPA	LIPA	1
Cort-CYP11B1	CYP11B1	1
DHEA-STS	UBASH3B	1
Desmosterol-DHCR7	DHCR7	1
DOC-CYP21A2	CYP21A2	1
DHEAS-SULT1E1	SULT1E1	1
DHEAS-SULT2A1	SULT2A1	1
DHEAS-SULT2B	SULT1A1	1
DHT-SRD5A1	SRD5A1	1
DHT-SRD5A2	SRD5A2	1
DHT-SRD5A3	SRD5A3	1
E2-CYP19A1	CYP19A1	1
E2-HSD17B1	HSD17B1	1
LTB4-LTA4H	LTA4H	1
LTC4-LTC4S	ALOX5AP;ALOX5;LTC4S	3
LTD4-GGT1	GGT1;GGT5	2
LTE4-DPEP1	DPEP1	1
LTE4-DPEP2	DPEP2	1
LTE4-DPEP3	DPEP3	1
LXA4-ALOX12	ALOX12	1
LXA4-ALOX5	ALOX5;ALOX5AP;LTC4S	3
Melatonin-ASMT	ASMT	1
Pregnenolone-CYP11A1	CYP11A1;FDX2;FDX1;FDXR	4
Progesterone-HSD3B1	HSD3B1	1
CATSPER1_CATSPERB	CATSPER1;CATSPERB	2
CATSPER1_CATSPERD	CATSPER1;CATSPERD	2
CATSPER2_CATSPERB	CATSPER2;CATSPERB	2
CATSPER2_CATSPERD	CATSPER2;CATSPERD	2
CATSPER3_CATSPERB	CATSPER3;CATSPERB	2
CATSPER3_CATSPERD	CATSPER3;CATSPERD	2
CATSPER4_CATSPERB	CATSPER4;CATSPERB	2
CATSPER4_CATSPERD	CATSPER4;CATSPERD	2
PGD2-AKR1C3	AKR1C3	1
PGE2-PTGES	PTGES	1
PGE2-PTGES2	PTGES2	1
PGE2-PTGES3	PTGES3	1
PGF2a-CBR1	CBR1	1
PGF2a-PRXL2B	PRXL2B	1
5-HT-DOPA-DDC	DDC	1
Testosterone-AKR1D1	AKR1D1	1
Testosterone-HSD17B12	HSD17B12	1
Testosterone-HSD17B3	HSD17B3	1
TXA2-TBXAS1	TBXAS1	1
5-HT-TPH1_SLC18A1	TPH1;SLC18A1	2
HTR3_complex	HTR3A;HTR3B;HTR3C;HTR3D;HTR3E	5
5-HT-TPH1_SLC18A2	TPH1;SLC18A2	2
