gene	var_patient	var_site	var_compartment	var_dsp_run	var_residual	highly_variable	converged	method	mean_log2	detected_in_n_aoi
ZNF629	0.077627728	6.6447921e-11	0.2570545	0.0082892228	0.65702855	False	True	powell	5.5185184	0
ZNF630	0.10198863	6.5784221e-11	0.081036196	0.1868851	0.63009007	False	True	powell	5.5280239	3
ZNF638	0.0013824516	0.00046779128	0.17091839	0.22049063	0.60674074	False	True	lbfgs	6.3206087	67
ZNF639	0.30111781	0.050730497	0.059040994	6.0286108e-11	0.5891107	False	True	powell	6.180877	58
ZNF641	0.11821391	0.094048702	0.15235671	0.064466698	0.57091398	False	True	lbfgs	5.9645676	30
ZNF644	0.17246866	8.3064152e-11	8.3062444e-11	8.6338881e-11	0.82753134	False	True	powell	6.1825656	58
ZNF646	0.11824053	0.1184561	0.030353533	0.0022506468	0.7306992	False	True	lbfgs	5.0036262	1
ZNF648	0.11469532	8.8601062e-06	0.30355105	0.24112657	0.3406182	False	True	lbfgs	5.5248696	2
ZNF649	0.14790773	9.2037747e-10	0.18243952	0.23606602	0.43358673	False	True	powell	6.4014453	90
ZNF652	0.35426045	6.3069513e-11	0.029991156	1.8756733e-10	0.61574839	False	True	powell	6.2228601	62
ZNF653	0.063570364	7.3710356e-11	0.20804825	0.020769044	0.70761234	False	True	powell	5.8484658	19
ZNF654	0.069595903	0.060286449	0.30701481	0.091560107	0.47154273	False	True	lbfgs	5.8843696	24
ZNF655	0.35990824	5.0764735e-11	0.083701262	0.068020865	0.48836963	False	True	powell	6.8738682	93
ZNF658	0.13146415	0.085701074	0.17289079	0.1397613	0.47018268	False	True	lbfgs	5.4715709	7
ZNF66	0.00062638433	0.00072041717	0.35445622	0.2080091	0.43618788	False	True	lbfgs	6.5971037	91
ZNF660	0.097031114	4.7880078e-11	0.29131425	0.17384403	0.43781061	False	True	powell	5.4359171	0
ZNF662	0.04217863	0.75187346	0.039558239	0.030220813	0.13616886	False	True	lbfgs	5.6528229	9
ZNF664	0.11637611	0.0068417376	0.25431704	0.18217615	0.44028896	False	True	powell	6.944428	95
ZNF665	0.13453353	0.0026490952	0.27510185	0.094552382	0.49316314	False	True	lbfgs	5.7073159	6
ZNF667	0.00079321299	0.007141086	0.34728384	0.19292395	0.45185792	False	True	lbfgs	5.5477201	1
ZNF668	0.00071664327	0.033163721	0.18157614	0.10836814	0.67617536	False	True	lbfgs	5.7820397	15
ZNF669	0.15158139	0.070014619	0.45805385	0.0023675756	0.31798257	False	True	lbfgs	7.0054401	105
ZNF670	0.08983282	4.7323192e-11	0.22948335	0.20791386	0.47276997	False	True	powell	5.7160544	6
ZNF671	0.077753263	5.0234524e-11	0.40538541	0.026633945	0.49022738	False	True	powell	5.4301577	1
ZNF672	0.24765956	0.015113827	0.00016048595	0.00085417674	0.73621195	False	True	lbfgs	5.7252942	23
ZNF674	0.02446255	0.083322366	0.057974555	0.27396513	0.5602754	False	True	lbfgs	5.6204496	8
ZNF675	0.28172728	0.026721886	0.10730784	0.08234252	0.50190047	False	True	lbfgs	5.6360157	9
ZNF677	0.10442931	0.029369863	0.23201643	0.20463765	0.42954675	False	True	lbfgs	5.0249339	0
ZNF678	0.070459022	6.0497636e-11	0.34001949	9.6963011e-10	0.58952149	False	True	powell	5.8301244	11
ZNF679	0.10718653	3.932418e-11	0.2566099	0.24795078	0.38825279	False	True	powell	5.5476982	3
ZNF680	0.37236797	0.031974833	0.038440782	0.015622506	0.54159391	False	True	lbfgs	5.6681331	21
ZNF681	0.0006851691	0.002505583	0.029955551	0.27862166	0.68823204	False	True	lbfgs	5.4772729	6
ZNF682	0.045883638	0.012885757	0.031119742	0.28457085	0.62554001	False	True	lbfgs	5.6149206	7
ZNF683	0.074025771	0.058637452	0.19495621	0.24601908	0.42636149	False	True	lbfgs	5.1527908	1
ZNF684	0.10264525	8.4249576e-11	8.3391047e-11	0.064268245	0.8330865	False	True	powell	6.8437545	103
ZNF687	0.21942865	0.038772186	0.24042776	0.0016473378	0.49972407	False	True	lbfgs	5.9600822	41
ZNF688	0.17026178	0.013680149	0.069615983	0.21927274	0.52716934	False	True	powell	5.9922652	33
ZNF689	0.13251366	1.0032062e-10	0.146011	0.1488107	0.57266464	False	True	powell	5.6941918	8
ZNF69	0.13388331	0.052404812	0.23263421	0.12038477	0.46069289	False	True	lbfgs	5.4891227	8
ZNF691	0.092911888	5.3578371e-11	0.29511432	0.094245786	0.517728	False	True	powell	5.7520697	11
ZNF692	0.21593982	5.5168101e-11	0.26878221	5.1604633e-11	0.51527798	False	True	powell	6.7484101	95
ZNF695	0.086166698	5.5036152e-11	0.1031502	0.29237136	0.51831174	False	True	powell	5.8419549	20
ZNF696	0.22230056	0.03592152	0.09904819	0.075962017	0.56676771	False	True	lbfgs	6.4586232	91
ZNF697	0.12299534	0.027650679	0.30432563	5.8429808e-11	0.54502835	False	True	powell	5.5801164	9
ZNF699	0.11262618	6.0636172e-11	0.20099499	0.12094472	0.56543412	False	True	powell	5.7393648	8
ZNF7	0.21212556	0.053733192	0.049270873	0.0007103422	0.68416003	False	True	lbfgs	6.0307563	47
ZNF70	0.16215235	6.5084452e-11	0.15920822	0.043684694	0.63495474	False	True	powell	5.5347498	5
ZNF700	0.061096459	0.01615133	0.21856494	0.20619617	0.4979911	False	True	lbfgs	5.9882204	31
ZNF701	0.078723792	0.0085949711	0.098224754	0.19790052	0.61655596	False	True	lbfgs	5.1370179	0
ZNF703	0.32217076	6.8579737e-11	0.020977819	6.5966996e-11	0.65685142	False	True	powell	6.4099848	70
ZNF704	0.30610233	3.829658e-11	0.093136544	0.2403393	0.36042183	True	True	powell	5.9651021	28
ZNF705A	0.077255166	0.00034647112	0.54163933	0.14439684	0.23636219	False	True	lbfgs	6.3409774	72
ZNF705B	0.079055099	3.4511432e-11	0.2687976	0.31347296	0.33867434	False	True	powell	5.7248438	13
ZNF706	0.26280621	0.013116638	0.23553856	0.005354916	0.48318367	False	True	powell	7.5241874	112
ZNF707	6.8386891e-05	0.00044340543	0.26855639	0.25677371	0.47415811	False	True	lbfgs	5.6467138	6
ZNF708	0.18601264	0.080926915	0.31729124	0.0057877559	0.40998144	False	True	lbfgs	6.1739378	55
ZNF709	0.10699	7.4765143e-11	0.30248234	0.17341188	0.41711578	False	True	powell	5.671851	6
ZNF71	6.3948787e-11	6.2660289e-11	0.26114876	0.11461442	0.62423682	False	True	powell	5.7960569	18
ZNF710	0.53248209	4.5903477e-11	0.040129952	0.01052136	0.4168666	True	True	powell	6.5255567	72
ZNF711	0.10314919	5.2915452e-11	0.40444414	0.071111542	0.42129513	False	True	powell	5.6031815	6
ZNF713	0.23426563	0.033150572	0.20831118	0.162311	0.36196161	False	True	lbfgs	5.3730809	0
ZNF714	0.094913898	0.026009348	0.0463914	0.019403025	0.81328233	False	True	powell	5.9955778	39
ZNF716	0.10184048	5.7208926e-11	0.27583958	0.11757629	0.50474364	False	True	powell	5.3008793	0
ZNF717	0.25515467	0.02374278	0.20656411	0.01722068	0.49731776	False	True	lbfgs	5.6900073	7
