aoi_label	aoi_code	patient_id	site	compartment	dsp_run	qc_flag	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30
L21	L	P21	lung	tumour	DSP-1012300141221	False	-20.328726	-7.8549509	-16.139614	11.273749	-8.6378164	13.732046	0.009977499	-10.082695	-2.6341631	-3.7152281	1.7171607	-2.5605729	-0.48706499	4.6345525	-2.0350904	8.5942106	1.1667892	-2.2258039	3.1370866	4.9940767	1.4515865	2.6151316	-3.6608849	1.8492897	-4.7916994	2.4728775	3.4144421	-2.8255777	1.270515	0.89462459
L18	L	P18	lung	tumour	DSP-1012300141221	False	-9.5010538	-7.8578382	20.341568	13.600215	-5.2410612	-8.1385069	-3.6850088	-9.2208223	-7.0963488	0.43437824	9.2275114	1.0483551	-0.30931842	3.8810248	-4.5421944	-0.99417078	1.408428	-6.9122982	2.3439505	0.12879333	9.7819672	3.5915518	8.0027437	9.2472372	1.4569266	0.27842128	-1.6873679	-0.44326526	6.3220944	8.2113371
L24	L	P24	lung	tumour	DSP-1012300141221	False	-0.086014748	10.193915	15.629741	1.6936537	3.1308038	5.4713173	8.1820173	10.960922	-5.1881447	-0.58949149	2.2686114	-8.5572042	-11.970688	2.1894283	-3.9899635	3.1364326	1.0125132	-1.0469048	-6.3630309	-7.0754771	4.0661654	-2.7503631	11.00847	-5.4653621	-8.5023384	-3.8647981	-2.3003764	0.39035606	2.3919587	-7.9680943
L26	L	P26	lung	tumour	DSP-1012300141221	False	-11.066367	-3.2147574	4.3550358	-7.6441627	5.9791775	6.6730485	-4.0818319	-4.6851358	1.948711	-7.3140683	5.0972643	6.4115791	3.0688758	6.3106031	1.8221039	-5.4867997	-7.1044698	9.0259104	1.9728558	-0.82266891	10.107327	2.6668863	-0.95107388	-1.2427688	2.3421764	-3.037616	1.9872677	-0.58266407	-5.9760528	-3.0100262
L40	L	P40	lung	tumour	DSP-1012300141221	False	-14.006115	-5.8718948	8.8030109	0.50244349	-2.1274343	-10.134143	0.83981097	-1.2825147	-1.7935477	0.41531384	3.3922403	-4.4988465	-6.8778682	1.207442	6.5452085	-1.4461545	-7.7939529	-3.1032648	-4.8821497	0.76776296	3.7690101	10.6256	-6.8123031	-4.3771057	-12.069802	-2.9790721	-5.0540709	4.1370621	2.0402417	4.3939266
L29	L	P29	lung	tumour	DSP-1012310141221	False	1.9673282	3.5920913	8.3737507	6.9674897	6.6529984	0.11198123	3.8546433	5.5000815	7.9477768	-2.5923419	5.5408893	-2.0518947	-1.3958498	1.8300792	-0.8032704	1.4156041	-2.206619	-0.80736917	-2.1469302	-1.1978592	-0.0076461579	0.42001757	0.67831242	-0.18758266	-0.48284027	-1.8575698	6.9138308	-0.93379658	-3.6223283	-3.8410943
L34	L	P34	lung	tumour	DSP-1012310141221	False	-14.090088	-11.717102	9.7257586	9.8249397	2.5183995	7.9989262	3.8830283	5.7320786	-5.993948	-0.51629293	-0.7322365	4.2786856	11.114576	-5.7847919	3.8225744	-1.9379244	11.008781	5.2508035	5.9545093	1.9949745	-5.377562	-2.3221848	3.8898895	-0.79183227	-1.6376616	-1.356292	1.5921965	-1.5793439	1.3307524	-1.3193635
L32	L	P32	lung	tumour	DSP-1012310141221	False	-14.85676	-4.5332708	11.222686	-3.1815908	2.6579795	-1.5921633	7.3554163	4.2060771	-0.11594365	1.7569314	1.6700361	-4.7846632	-1.3565528	-0.81728476	-0.15933785	-4.6187139	-1.4603661	-2.1997173	-1.1070136	1.4325418	-0.71936971	5.6069322	3.5448515	-3.5132823	-4.6592503	-2.5984638	-1.0304173	-0.10129546	1.8693268	-0.34408396
L43	L	P43	lung	tumour	DSP-1012310141221	False	1.4329129	-0.095433414	4.0972281	1.9763401	8.2289228	0.15446892	1.2813814	-2.8089743	3.7706032	-1.8385556	-1.9252256	1.8542619	-3.3256898	-1.6024618	2.2486863	2.0745933	0.74122417	-0.31608558	-0.32278311	-1.1248244	-2.372781	0.23881787	-2.4490623	0.71676439	1.1818138	-0.90029001	-0.054759849	-1.1355798	2.7594159	2.5696509
L30	L	P30	lung	tumour	DSP-1012310141221	False	0.53780413	2.8775582	8.1960535	5.5164022	7.9734669	-1.4840435	5.3873439	2.009279	7.9872456	-0.76284128	0.45230895	-2.9423175	-4.8473463	1.7880725	0.19029781	4.8875461	-3.187418	-1.1289788	-4.0603518	-6.4259191	-1.8463693	4.1762829	1.1566703	4.3263593	2.3508019	-5.1207891	14.009852	-5.8150692	-8.044734	-5.6819415
L35	L	P35	lung	tumour	DSP-1012310141221	False	1.7925906	-5.2313962	11.208	12.67778	7.3923807	-3.5702307	-0.69492936	-5.0835629	4.0350256	0.54695016	1.2463038	-3.3432944	-1.3496393	-6.6886263	1.5975338	1.232305	-2.8331199	-1.233258	0.57037818	1.2418429	4.0699744	-1.9118218	1.166056	6.5801067	-2.0737417	0.21677539	0.11266039	-2.8702826	1.686105	0.27531523
L37	L	P37	lung	tumour	DSP-1012310141221	False	-7.307066	-3.7438774	8.9075565	12.025702	-6.5586863	-0.80020702	-1.8493278	5.1870961	-8.286602	-4.5878143	-5.6092677	-0.82372743	-3.2841127	0.18749215	8.4733686	5.3414383	-7.2208962	6.3584614	-5.5820556	-6.5710778	-3.3218706	-2.9193189	1.3209198	3.0057695	-0.79853672	1.0502635	4.0812631	9.0997705	3.1028399	-1.9700029
L44	L	P44	lung	tumour	DSP-1012310141221	False	-0.45276418	-1.5171261	-11.491709	-0.043490104	17.969107	-7.957819	-2.3586218	-5.6429868	-3.2341692	-0.060253389	-2.9617546	-3.5511544	-3.5634928	-0.050884154	-0.7502594	5.8980942	4.1111245	3.9065819	2.6083696	-1.0081683	2.0664332	-1.4290047	0.010544758	-4.273828	-0.48296064	5.3942022	2.4006686	1.4838284	3.1633291	-0.76982331
TIME-L05	TIME-L	P5	lung	immune	DSP-1012300141221	False	7.3053112	22.314518	-1.6653812	2.7006035	-2.9505351	-2.6532369	2.8293288	-1.4439375	1.4161565	-6.1783147	-3.1400666	7.2782159	-1.4949025	-0.034167215	0.051326241	0.4074899	-0.7961005	-1.0466305	1.1871159	2.6503987	-3.4837577	2.6696837	2.4161675	2.3683333	1.1929768	-1.6064718	0.75834626	3.7760463	-0.26777515	-1.7136794
TIME-L12a	TIME-L	P12	lung	immune	DSP-1012300141221	False	-3.433172	26.010279	-8.4916935	-3.5622001	-8.1034384	-1.4026591	6.962893	-1.9314562	0.52789217	-0.70081139	6.9223599	-8.5866957	3.7987373	2.0410607	3.0668776	-7.6952467	4.6325784	5.1908426	-5.5486169	2.0817132	1.1761739	-1.395929	-1.5573176	0.59733737	2.0135322	3.9867349	1.3265333	-0.36251849	-0.69894493	1.3622109
TIME-L15	TIME-L	P15	lung	immune	DSP-1012300141221	False	4.0721054	20.707352	2.3509312	2.4047463	-5.273757	-5.6603189	1.269523	-0.40328094	0.67427862	-5.0937009	-2.6911857	3.172369	-0.8454234	-2.4972699	0.31628248	0.66922921	-0.094097361	-3.1497552	-0.36979496	0.23558038	-0.87249327	1.4420664	-1.6165729	2.2853703	-0.2572543	1.7211473	-1.6388171	-1.8459694	0.15372241	-2.3048446
TIME-L19	TIME-L	P19	lung	immune	DSP-1012300141221	False	5.6193485	19.656988	-0.74994403	1.4987988	-1.9353515	-2.3160629	0.46310198	1.6234032	5.5756836	-3.7545583	4.2273202	2.6705494	1.8070846	-0.51708829	-0.22825636	1.5559714	-0.62077117	0.041344631	-0.42360732	3.3575413	-0.85887939	1.4115032	-2.4172075	-0.44929817	1.7353857	0.39637178	0.41032177	3.4339426	0.06755428	0.30180615
