rank	interaction_name	interaction_name_2	pathway_name	annotation	site	direction	ligand	receptor	ligand_subunits	receptor_subunits	ligand_aoi_code	receptor_aoi_code	table	n	rho	abs_rho	p_raw	n_detected_both	frac_detected_both	rho_detected_only	p_detected_only	delta_vs_primary	sensitivity_status	ligand_detection	receptor_detection	ligand_secreted_type	ligand_transmembrane	receptor_transmembrane	evidence
191	MIF_CD74_CXCR4	MIF - (CD74+CXCR4)	MIF	Secreted Signaling	lung	ligand_tumour__receptor_immune	MIF	CD74_CXCR4	MIF	CD74;CXCR4	L	TIME-L	exploratory	13	-0.14285714285714285	0.14285714285714285	0.6415164215860882	13	1.0	-0.14285714285714285	0.6415164215860882	0.0	fitted	MIF:30/30	CD74:15/15;CXCR4:15/15			True	PMID: 29637711; PMID: 24760155
192	COL6A3_ITGA2_ITGB1	COL6A3 - (ITGA2+ITGB1)	COLLAGEN	ECM-Receptor	lung	ligand_immune__receptor_tumour	COL6A3	ITGA2_ITGB1	COL6A3	ITGA2;ITGB1	TIME-L	L	exploratory	13	0.14285714285714285	0.14285714285714285	0.6415164215860882	11	0.8461538461538461	-0.02727272727272728	0.9365584481926121	-0.17012987012987013	fitted	COL6A3:15/15	ITGA2:25/30;ITGB1:30/30	secreted	False	True	KEGG: hsa04512
193	COL6A2_ITGA11_ITGB1	COL6A2 - (ITGA11+ITGB1)	COLLAGEN	ECM-Receptor	lung	ligand_tumour__receptor_immune	COL6A2	ITGA11_ITGB1	COL6A2	ITGA11;ITGB1	L	TIME-L	exploratory	13	0.13186813186813187	0.13186813186813187	0.6676075762175147	7	0.5384615384615384	-0.3214285714285715	0.4820720382996776	-0.45329670329670335	fitted	COL6A2:28/30	ITGA11:8/15;ITGB1:15/15	secreted	False	True	KEGG: hsa04512
194	FN1_ITGAV_ITGB1	FN1 - (ITGAV+ITGB1)	FN1	ECM-Receptor	lung	ligand_immune__receptor_tumour	FN1	ITGAV_ITGB1	FN1	ITGAV;ITGB1	TIME-L	L	exploratory	13	0.13186813186813187	0.13186813186813187	0.6676075762175147	13	1.0	0.13186813186813187	0.6676075762175147	0.0	fitted	FN1:15/15	ITGAV:30/30;ITGB1:30/30	secreted	False	True	KEGG: hsa04512
195	LAMA4_ITGA6_ITGB1	LAMA4 - (ITGA6+ITGB1)	LAMININ	ECM-Receptor	brain	ligand_immune__receptor_tumour	LAMA4	ITGA6_ITGB1	LAMA4	ITGA6;ITGB1	TIME-B	LB	exploratory	8	-0.13173888881045848	0.13173888881045848	0.7558326362593347	3	0.375				below_min_n (3 < 6)	LAMA4:7/8	ITGA6:15/27;ITGB1:26/27			True	KEGG: hsa04512
196	SPP1_ITGAV_ITGB5	SPP1 - (ITGAV+ITGB5)	SPP1	Secreted Signaling	lung	ligand_immune__receptor_tumour	SPP1	ITGAV_ITGB5	SPP1	ITGAV;ITGB5	TIME-L	L	exploratory	13	0.12637362637362637	0.12637362637362637	0.6807854750709491	6	0.46153846153846156	0.4285714285714286	0.3965014577259473	0.30219780219780223	fitted	SPP1:11/15	ITGAV:30/30;ITGB5:24/30	cytokine	False	True	PMID: 21907263
197	SPP1_ITGAV_ITGB1	SPP1 - (ITGAV+ITGB1)	SPP1	Secreted Signaling	lung	ligand_immune__receptor_tumour	SPP1	ITGAV_ITGB1	SPP1	ITGAV;ITGB1	TIME-L	L	exploratory	13	0.12087912087912088	0.12087912087912088	0.6940473279966858	10	0.7692307692307693	0.32121212121212117	0.3654683104386705	0.20033300033300028	fitted	SPP1:11/15	ITGAV:30/30;ITGB1:30/30	cytokine	False	True	PMID: 21907263
198	VEGFA_VEGFR1R2	VEGFA - VEGFR1R2	VEGF	Secreted Signaling	brain	ligand_tumour__receptor_immune	VEGFA	FLT1_KDR	VEGFA	FLT1;KDR	LB	TIME-B	exploratory	8	-0.11904761904761905	0.11904761904761905	0.7788857260523796	3	0.375				below_min_n (3 < 6)	VEGFA:26/27	FLT1:5/8;KDR:5/8	growth factor	False	True	PMID: 16633338
199	WNT8A_FZD6_LRP6	WNT8A - (FZD6+LRP6)	WNT	Secreted Signaling	brain	ligand_immune__receptor_tumour	WNT8A	FZD6_LRP6	WNT8A	FZD6;LRP6	TIME-B	LB	exploratory	8	0.11904761904761905	0.11904761904761905	0.7788857260523796	6	0.75	0.14285714285714288	0.7871720116618076	0.023809523809523822	fitted	WNT8A:7/8	FZD6:20/27;LRP6:21/27	cellsignal_wnt	False	True	KEGG: hsa04310; PMID: 23209147
200	LAMA5_ITGA1_ITGB1	LAMA5 - (ITGA1+ITGB1)	LAMININ	ECM-Receptor	brain	ligand_tumour__receptor_immune	LAMA5	ITGA1_ITGB1	LAMA5	ITGA1;ITGB1	LB	TIME-B	exploratory	8	-0.11904761904761905	0.11904761904761905	0.7788857260523796	5	0.625				below_min_n (5 < 6)	LAMA5:26/27	ITGA1:5/8;ITGB1:8/8			True	KEGG: hsa04512
