gene	alias	aoi_label	aoi_code	q3	quantum	implied_counts	counts_reliable	n_genes_sharing_value	negprobe_implied_counts	assessable_in_compartment
LAG3	LAG-3	mLN07	mLN	53.520000000000003	0.54999999999999716	97.309090909091424	True	100	57.67272727272757	False
PDCD1	PD-1	mLN07	mLN	75.590000000000003	0.54999999999999716	137.43636363636435	True	56	57.67272727272757	True
TIGIT	TIGIT	mLN07	mLN	43.039999999999999	0.54999999999999716	78.254545454545863	True	175	57.67272727272757	False
VSIR	VISTA	mLN07	mLN	67.870000000000005	0.54999999999999716	123.40000000000065	True	58	57.67272727272757	False
CD274	PD-L1	mLN09	mLN	127.23999999999999	1.0999999999999943	115.67272727272787	True	37	32.027272727272887	True
CD276	B7-H3	mLN09	mLN	378.43000000000001	1.0999999999999943	344.02727272727452	True	2	32.027272727272887	True
CTLA4	CTLA-4	mLN09	mLN	44.969999999999999	1.0999999999999943	40.881818181818389	True	408	32.027272727272887	False
HAVCR2	TIM-3	mLN09	mLN	52.649999999999999	1.0999999999999943	47.863636363636608	True	287	32.027272727272887	False
IDO1	IDO1	mLN09	mLN	54.840000000000003	1.0999999999999943	49.854545454545715	True	251	32.027272727272887	False
LAG3	LAG-3	mLN09	mLN	30.710000000000001	1.0999999999999943	27.918181818181964	True	263	32.027272727272887	False
PDCD1	PD-1	mLN09	mLN	60.329999999999998	1.0999999999999943	54.845454545454828	True	201	32.027272727272887	True
TIGIT	TIGIT	mLN09	mLN	41.68	1.0999999999999943	37.89090909090929	True	421	32.027272727272887	False
VSIR	VISTA	mLN09	mLN	68.010000000000005	1.0999999999999943	61.827272727273055	True	172	32.027272727272887	False
CD274	PD-L1	mLN10	mLN	133.16999999999999	0.48000000000000398	277.43749999999767	True	12	37.437499999999687	True
CD276	B7-H3	mLN10	mLN	153.50999999999999	0.48000000000000398	319.81249999999733	True	6	37.437499999999687	True
CTLA4	CTLA-4	mLN10	mLN	20.82	0.48000000000000398	43.374999999999638	True	292	37.437499999999687	False
HAVCR2	TIM-3	mLN10	mLN	35.840000000000003	0.48000000000000398	74.66666666666606	True	81	37.437499999999687	False
IDO1	IDO1	mLN10	mLN	21.789999999999999	0.48000000000000398	45.395833333332952	True	300	37.437499999999687	False
LAG3	LAG-3	mLN10	mLN	21.789999999999999	0.48000000000000398	45.395833333332952	True	300	37.437499999999687	False
PDCD1	PD-1	mLN10	mLN	49.880000000000003	0.48000000000000398	103.9166666666658	True	58	37.437499999999687	True
TIGIT	TIGIT	mLN10	mLN	18.399999999999999	0.48000000000000398	38.333333333333016	True	243	37.437499999999687	False
VSIR	VISTA	mLN10	mLN	35.350000000000001	0.48000000000000398	73.645833333332732	True	79	37.437499999999687	False
CD274	PD-L1	mLN11	mLN	80.030000000000001	0.73000000000000398	109.63013698630077	True	86	34.315068493150498	True
CD276	B7-H3	mLN11	mLN	104.26000000000001	0.73000000000000398	142.82191780821842	True	45	34.315068493150498	True
CTLA4	CTLA-4	mLN11	mLN	30.100000000000001	0.73000000000000398	41.232876712328547	True	300	34.315068493150498	False
HAVCR2	TIM-3	mLN11	mLN	33.770000000000003	0.73000000000000398	46.260273972602491	True	299	34.315068493150498	False
IDO1	IDO1	mLN11	mLN	46.990000000000002	0.73000000000000398	64.369863013698279	True	148	34.315068493150498	False
LAG3	LAG-3	mLN11	mLN	49.93	0.73000000000000398	68.397260273972236	True	140	34.315068493150498	False
PDCD1	PD-1	mLN11	mLN	53.600000000000001	0.73000000000000398	73.42465753424618	True	109	34.315068493150498	True
TIGIT	TIGIT	mLN11	mLN	24.23	0.73000000000000398	33.191780821917625	True	183	34.315068493150498	False
VSIR	VISTA	mLN11	mLN	44.049999999999997	0.73000000000000398	60.342465753424328	True	164	34.315068493150498	False
CD274	PD-L1	mLN12	mLN	60.700000000000003	0.84000000000000341	72.261904761904475	True	96	23.797619047618948	True
CD276	B7-H3	mLN12	mLN	142.46000000000001	0.84000000000000341	169.59523809523742	True	30	23.797619047618948	True
CTLA4	CTLA-4	mLN12	mLN	33.719999999999999	0.84000000000000341	40.142857142856975	True	239	23.797619047618948	False
HAVCR2	TIM-3	mLN12	mLN	43.840000000000003	0.84000000000000341	52.190476190475984	True	134	23.797619047618948	False
IDO1	IDO1	mLN12	mLN	54.789999999999999	0.84000000000000341	65.226190476190212	True	107	23.797619047618948	False
LAG3	LAG-3	mLN12	mLN	30.350000000000001	0.84000000000000341	36.130952380952237	True	320	23.797619047618948	False
PDCD1	PD-1	mLN12	mLN	48.049999999999997	0.84000000000000341	57.202380952380715	True	134	23.797619047618948	True
TIGIT	TIGIT	mLN12	mLN	32.030000000000001	0.84000000000000341	38.13095238095223	True	289	23.797619047618948	False
VSIR	VISTA	mLN12	mLN	66.599999999999994	0.84000000000000341	79.285714285713951	True	94	23.797619047618948	False
CD274	PD-L1	mLN14	mLN	56.700000000000003	0.54999999999999716	103.09090909090963	True	104	81.272727272727693	True
CD276	B7-H3	mLN14	mLN	158.09999999999999	0.54999999999999716	287.45454545454692	True	13	81.272727272727693	True
CTLA4	CTLA-4	mLN14	mLN	37.619999999999997	0.54999999999999716	68.400000000000347	True	201	81.272727272727693	False
