rank	interaction_name	interaction_name_2	pathway_name	annotation	site	direction	ligand	receptor	ligand_subunits	receptor_subunits	ligand_aoi_code	receptor_aoi_code	table	n	rho	abs_rho	p_raw	n_detected_both	frac_detected_both	rho_detected_only	p_detected_only	delta_vs_primary	sensitivity_status	ligand_detection	receptor_detection	ligand_secreted_type	ligand_transmembrane	receptor_transmembrane	evidence
349	COL1A2_GP6	COL1A2 - GP6	COLLAGEN	ECM-Receptor	lung	ligand_tumour__receptor_immune	COL1A2	GP6	COL1A2	GP6	L	TIME-L	primary	13	0.15384615384615383	0.15384615384615383	0.6157988686488813	12	0.9230769230769231	0.16783216783216784	0.6020994277865379	0.013986013986014012	fitted	COL1A2:30/30	GP6:14/15	secreted	False		KEGG: hsa04512
350	MDK_NCL	MDK - NCL	MK	Secreted Signaling	lung	ligand_tumour__receptor_immune	MDK	NCL	MDK	NCL	L	TIME-L	primary	13	-0.14835164835164835	0.14835164835164835	0.6286094178894163	13	1.0	-0.14835164835164835	0.6286094178894163	0.0	fitted	MDK:30/30	NCL:15/15	growth factor	False		PMID: 28356350
351	MDK_SDC4	MDK - SDC4	MK	Secreted Signaling	lung	ligand_tumour__receptor_immune	MDK	SDC4	MDK	SDC4	L	TIME-L	primary	13	0.14835164835164835	0.14835164835164835	0.6286094178894163	11	0.8461538461538461	-0.4090909090909091	0.211545010342096	-0.5574425574425574	fitted	MDK:30/30	SDC4:13/15	growth factor	False		PMID: 28356350
352	LAMB2_CD44	LAMB2 - CD44	LAMININ	ECM-Receptor	lung	ligand_tumour__receptor_immune	LAMB2	CD44	LAMB2	CD44	L	TIME-L	primary	13	0.14835164835164835	0.14835164835164835	0.6286094178894163	10	0.7692307692307693	0.41818181818181815	0.22911284098281895	0.26983016983016983	fitted	LAMB2:24/30	CD44:15/15			True	KEGG: hsa04512
353	PTPRS_NTRK3	PTPRS - NTRK3	PTPR	Secreted Signaling	brain	ligand_tumour__receptor_immune	PTPRS	NTRK3	PTPRS	NTRK3	LB	TIME-B	primary	8	0.14285714285714288	0.14285714285714288	0.7357648598798119	4	0.5				below_min_n (4 < 6)	PTPRS:17/27	NTRK3:5/8		True	True	PMID:21262467;PMID:25385546;
354	HLA-C_KIR2DS1	HLA-C - KIR2DS1	MHC-I	Cell-Cell Contact	brain	ligand_tumour__receptor_immune	HLA-C	KIR2DS1	HLA-C	KIR2DS1	LB	TIME-B	primary	8	0.14285714285714288	0.14285714285714288	0.7357648598798119	5	0.625				below_min_n (5 < 6)	HLA-C:27/27	KIR2DS1:5/8		True		PMID: 28484462
355	PPIA_BSG	PPIA - BSG	CypA	Secreted Signaling	brain	ligand_tumour__receptor_immune	PPIA	BSG	PPIA	BSG	LB	TIME-B	primary	8	-0.14285714285714288	0.14285714285714288	0.7357648598798119	8	1.0	-0.14285714285714288	0.7357648598798119	0.0	fitted	PPIA:27/27	BSG:8/8	secreted	False	True	PMID: 36012604
356	GDF15_TGFBR2	GDF15 - TGFBR2	GDF	Secreted Signaling	brain	ligand_tumour__receptor_immune	GDF15	TGFBR2	GDF15	TGFBR2	LB	TIME-B	primary	8	-0.14285714285714288	0.14285714285714288	0.7357648598798119	7	0.875	-0.7142857142857144	0.07134356146753763	-0.5714285714285715	fitted	GDF15:20/27	TGFBR2:8/8			True	KEGG: hsa04350
357	THBS2_CD47	THBS2 - CD47	THBS	ECM-Receptor	brain	ligand_immune__receptor_tumour	THBS2	CD47	THBS2	CD47	TIME-B	LB	primary	8	0.14285714285714288	0.14285714285714288	0.7357648598798119	7	0.875	0.3571428571428572	0.43161135203832796	0.21428571428571433	fitted	THBS2:8/8	CD47:24/27		False	True	KEGG: hsa04512
358	PROS1_AXL	PROS1 - AXL	PROS	Secreted Signaling	brain	ligand_tumour__receptor_immune	PROS1	AXL	PROS1	AXL	LB	TIME-B	primary	8	0.14285714285714288	0.14285714285714288	0.7357648598798119	6	0.75	0.4285714285714286	0.3965014577259473	0.2857142857142857	fitted	PROS1:17/27	AXL:8/8			True	PMID: 29531161
359	COL4A1_CD44	COL4A1 - CD44	COLLAGEN	ECM-Receptor	brain	ligand_tumour__receptor_immune	COL4A1	CD44	COL4A1	CD44	LB	TIME-B	primary	8	-0.14285714285714288	0.14285714285714288	0.7357648598798119	5	0.625				below_min_n (5 < 6)	COL4A1:15/27	CD44:8/8	secreted	False	True	KEGG: hsa04512
360	COL4A1_GP6	COL4A1 - GP6	COLLAGEN	ECM-Receptor	brain	ligand_immune__receptor_tumour	COL4A1	GP6	COL4A1	GP6	TIME-B	LB	primary	8	0.14285714285714288	0.14285714285714288	0.7357648598798119	8	1.0	0.14285714285714288	0.7357648598798119	0.0	fitted	COL4A1:8/8	GP6:25/27	secreted	False		KEGG: hsa04512
361	COL9A2_GP6	COL9A2 - GP6	COLLAGEN	ECM-Receptor	brain	ligand_immune__receptor_tumour	COL9A2	GP6	COL9A2	GP6	TIME-B	LB	primary	8	-0.14285714285714288	0.14285714285714288	0.7357648598798119	5	0.625				below_min_n (5 < 6)	COL9A2:5/8	GP6:25/27	secreted	False		KEGG: hsa04512
362	FN1_SDC1	FN1 - SDC1	FN1	ECM-Receptor	brain	ligand_immune__receptor_tumour	FN1	SDC1	FN1	SDC1	TIME-B	LB	primary	8	-0.14285714285714288	0.14285714285714288	0.7357648598798119	8	1.0	-0.14285714285714288	0.7357648598798119	0.0	fitted	FN1:8/8	SDC1:25/27	secreted	False	True	KEGG: hsa04512
363	AGRN_DAG1	AGRN - DAG1	AGRN	ECM-Receptor	brain	ligand_immune__receptor_tumour	AGRN	DAG1	AGRN	DAG1	TIME-B	LB	primary	8	-0.14285714285714288	0.14285714285714288	0.7357648598798119	6	0.75	0.08571428571428573	0.8717434402332361	0.2285714285714286	fitted	AGRN:7/8	DAG1:24/27	secreted	True	True	KEGG: hsa04512
364	PROS1_TYRO3	PROS1 - TYRO3	PROS	Secreted Signaling	brain	ligand_immune__receptor_tumour	PROS1	TYRO3	PROS1	TYRO3	TIME-B	LB	primary	8	0.14285714285714288	0.14285714285714288	0.7357648598798119	2	0.25				below_min_n (2 < 6)	PROS1:5/8	TYRO3:16/27			True	PMID: 30501104
365	SLURP1_CHRNE	SLURP1 - CHRNE	SLURP	Secreted Signaling	lung	ligand_tumour__receptor_immune	SLURP1	CHRNE	SLURP1	CHRNE	L	TIME-L	primary	13	0.14285714285714285	0.14285714285714285	0.6415164215860882	8	0.6153846153846154	0.14285714285714288	0.7357648598798119	2.7755575615628914e-17	fitted	SLURP1:30/30	CHRNE:9/15			True	KEGG: hsa04080
366	TNC_SDC1	TNC - SDC1	TENASCIN	ECM-Receptor	lung	ligand_tumour__receptor_immune	TNC	SDC1	TNC	SDC1	L	TIME-L	primary	13	-0.13736263736263735	0.13736263736263735	0.6545168402947128	8	0.6153846153846154	-0.3333333333333334	0.41975308641975323	-0.19597069597069608	fitted	TNC:22/30	SDC1:11/15	secreted	False	True	KEGG: hsa04512
367	GJA1_GJA1	GJA1 - GJA1	GAP	Cell-Cell Contact	lung	ligand_tumour__receptor_immune	GJA1	GJA1	GJA1	GJA1	L	TIME-L	primary	13	0.13186813186813187	0.13186813186813187	0.6676075762175147	8	0.6153846153846154	0.2142857142857143	0.6103444156452668	0.08241758241758243	fitted	GJA1:19/30	GJA1:15/15		True	True	PMID: 32532966;PMID: 15094344
368	HLA-DQB1_CD4	HLA-DQB1 - CD4	MHC-II	Cell-Cell Contact	lung	ligand_tumour__receptor_immune	HLA-DQB1	CD4	HLA-DQB1	CD4	L	TIME-L	primary	13	0.13186813186813187	0.13186813186813187	0.6676075762175147	11	0.8461538461538461	0.28181818181818186	0.4011448979604784	0.14995004995004999	fitted	HLA-DQB1:22/30	CD4:15/15				KEGG: hsa04514
369	CD96_PVR	CD96 - PVR	CD96	Cell-Cell Contact	lung	ligand_immune__receptor_tumour	CD96	PVR	CD96	PVR	TIME-L	L	primary	13	0.13186813186813187	0.13186813186813187	0.6676075762175147	5	0.38461538461538464				below_min_n (5 < 6)	CD96:9/15	PVR:25/30		True	True	PMID: 15034010
370	GJA1_GJA1	GJA1 - GJA1	GAP	Cell-Cell Contact	lung	ligand_immune__receptor_tumour	GJA1	GJA1	GJA1	GJA1	TIME-L	L	primary	13	0.13186813186813187	0.13186813186813187	0.6676075762175147	8	0.6153846153846154	0.2142857142857143	0.6103444156452668	0.08241758241758243	fitted	GJA1:15/15	GJA1:19/30		True	True	PMID: 32532966;PMID: 15094344
371	SEMA4D_PLXNB2	SEMA4D - PLXNB2	SEMA4	Cell-Cell Contact	lung	ligand_immune__receptor_tumour	SEMA4D	PLXNB2	SEMA4D	PLXNB2	TIME-L	L	primary	13	-0.12929860925197142	0.12929860925197142	0.6737596060710332	12	0.9230769230769231	-0.1258741258741259	0.696683109395766	0.0034244833778455386	fitted	SEMA4D:14/15	PLXNB2:30/30		True	True	PMID: 27533782
372	HLA-C_KIR2DS1	HLA-C - KIR2DS1	MHC-I	Cell-Cell Contact	lung	ligand_tumour__receptor_immune	HLA-C	KIR2DS1	HLA-C	KIR2DS1	L	TIME-L	primary	13	-0.12929860925197142	0.12929860925197142	0.6737596060710332	10	0.7692307692307693	-0.4666666666666666	0.17393859716506654	-0.3373680574146952	fitted	HLA-C:30/30	KIR2DS1:12/15		True		PMID: 28484462
373	CCL3_CCR1	CCL3 - CCR1	CCL	Secreted Signaling	lung	ligand_tumour__receptor_immune	CCL3	CCR1	CCL3	CCR1	L	TIME-L	primary	13	0.12637362637362637	0.12637362637362637	0.6807854750709491	10	0.7692307692307693	-0.07878787878787878	0.8287173946974605	-0.20516150516150516	fitted	CCL3:28/30	CCR1:12/15	cytokine	False	True	KEGG: hsa04060
374	APP_SORL1	APP - SORL1	APP	Cell-Cell Contact	brain	ligand_immune__receptor_tumour	APP	SORL1	APP	SORL1	TIME-B	LB	primary	8	-0.11904761904761905	0.11904761904761905	0.7788857260523796	8	1.0	-0.11904761904761905	0.7788857260523796	0.0	fitted	APP:8/8	SORL1:21/27		True	True	PMID: 24523320
375	ANGPTL4_SDC3	ANGPTL4 - SDC3	ANGPTL	Secreted Signaling	brain	ligand_tumour__receptor_immune	ANGPTL4	SDC3	ANGPTL4	SDC3	LB	TIME-B	primary	8	-0.11904761904761905	0.11904761904761905	0.7788857260523796	5	0.625				below_min_n (5 < 6)	ANGPTL4:14/27	SDC3:8/8				PMID: 29017031
376	FN1_CD44	FN1 - CD44	FN1	ECM-Receptor	brain	ligand_immune__receptor_tumour	FN1	CD44	FN1	CD44	TIME-B	LB	primary	8	0.11904761904761905	0.11904761904761905	0.7788857260523796	7	0.875	-0.21428571428571433	0.6445115810207203	-0.33333333333333337	fitted	FN1:8/8	CD44:25/27	secreted	False	True	KEGG: hsa04512
377	COL1A2_SDC1	COL1A2 - SDC1	COLLAGEN	ECM-Receptor	brain	ligand_immune__receptor_tumour	COL1A2	SDC1	COL1A2	SDC1	TIME-B	LB	primary	8	-0.11904761904761905	0.11904761904761905	0.7788857260523796	8	1.0	-0.11904761904761905	0.7788857260523796	0.0	fitted	COL1A2:8/8	SDC1:25/27	secreted	False	True	KEGG: hsa04512
378	COL4A1_SDC4	COL4A1 - SDC4	COLLAGEN	ECM-Receptor	brain	ligand_immune__receptor_tumour	COL4A1	SDC4	COL4A1	SDC4	TIME-B	LB	primary	8	-0.11904761904761905	0.11904761904761905	0.7788857260523796	7	0.875	0.3214285714285715	0.4820720382996776	0.4404761904761906	fitted	COL4A1:8/8	SDC4:26/27	secreted	False		KEGG: hsa04512
379	CD99_PILRA	CD99 - PILRA	CD99	Cell-Cell Contact	brain	ligand_tumour__receptor_immune	CD99	PILRA	CD99	PILRA	LB	TIME-B	primary	8	-0.11904761904761905	0.11904761904761905	0.7788857260523796	6	0.75	0.14285714285714288	0.7871720116618076	0.2619047619047619	fitted	CD99:27/27	PILRA:6/8		True	True	PMID: 18234675
380	LAMC2_CD44	LAMC2 - CD44	LAMININ	ECM-Receptor	brain	ligand_tumour__receptor_immune	LAMC2	CD44	LAMC2	CD44	LB	TIME-B	primary	8	0.11904761904761905	0.11904761904761905	0.7788857260523796	8	1.0	0.11904761904761905	0.7788857260523796	0.0	fitted	LAMC2:22/27	CD44:8/8			True	KEGG: hsa04512
381	ANGPTL4_CDH5	ANGPTL4 - CDH5	ANGPTL	Secreted Signaling	brain	ligand_tumour__receptor_immune	ANGPTL4	CDH5	ANGPTL4	CDH5	LB	TIME-B	primary	8	-0.11904761904761905	0.11904761904761905	0.7788857260523796	2	0.25				below_min_n (2 < 6)	ANGPTL4:14/27	CDH5:4/8			True	PMID: 30049845
