compartment	gene	patient_id	lung	brain	delta_brain_minus_lung	detected_lung	detected_brain
tumour	LAG3	P4	5.1513717762539537	5.0703893278913981	-0.080982448362555637	False	False
tumour	LAG3	P40	5.0729632715552242	5.8782348791123393	0.80527160755711513	False	False
tumour	LAG3	P44	5.597531174224212	5.4731374877722558	-0.12439368645195614	False	False
tumour	LAG3	P5	5.2117909762525407	5.5397791916984938	0.32798821544595302	False	False
tumour	LAG3	P7	5.1193561770396752	4.920769673020648	-0.19858650401902711	False	False
tumour	LAG3	P9	4.8669079781431659	4.9611602581366396	0.094252279993473742	False	False
tumour	PDCD1	P1	5.951168128838912	6.3605398616518096	0.40937173281289763	False	True
tumour	PDCD1	P12	5.5505928897042995	5.8841094513592296	0.33351656165493004	False	True
tumour	PDCD1	P13	5.8811751553492755	5.8321305010959286	-0.04904465425334692	True	False
tumour	PDCD1	P14	6.524189078449365	5.9302642452350236	-0.59392483321434142	False	False
tumour	PDCD1	P15	6.2467880938443647	6.0358438159945251	-0.2109442778498396	True	False
tumour	PDCD1	P16	6.1095695093706883	5.9309738255629059	-0.17859568380778246	False	False
tumour	PDCD1	P17	5.5397791916984938	6.4510462229766841	0.91126703127819031	False	True
tumour	PDCD1	P18	5.7511423247269473	6.2675357980687352	0.51639347334178787	False	True
tumour	PDCD1	P19	5.8745510868966404	6.3635215435465451	0.48897045664990468	True	True
tumour	PDCD1	P2	5.1005572207829299	4.9836776946980672	-0.11687952608486274	False	False
tumour	PDCD1	P20	5.7449683482488751	6.7296887134496792	0.98472036520080408	True	False
tumour	PDCD1	P21	5.7366048753142485	5.6968284645887133	-0.039776410725535172	False	True
tumour	PDCD1	P24	5.5397791916984938	6.5813512471687776	1.0415720554702839	False	True
tumour	PDCD1	P3	6.1087335278662662	6.1945598860226125	0.085826358156346316	False	False
tumour	PDCD1	P34	5.9471985842620558	6.2135417019265642	0.26634311766450836	False	True
tumour	PDCD1	P35	6.524189078449365	6.1143670249520001	-0.40982205349736489	False	True
tumour	PDCD1	P37	6.3278669714020355	6.3955769765497701	0.06771000514773462	True	False
tumour	PDCD1	P4	5.1941658685298204	5.6951586784753561	0.50099280994553563	False	False
tumour	PDCD1	P40	6.2519084102416738	7.0243640091141701	0.77245559887249637	True	True
tumour	PDCD1	P44	6.1143670249520001	5.6644828403646823	-0.44988418458731783	False	False
tumour	PDCD1	P5	5.5257556928294864	5.5999128421871278	0.074157149357641394	True	False
tumour	PDCD1	P7	5.7599547420113044	5.7506065048355923	-0.009348237175712093	True	True
tumour	PDCD1	P9	5.6055535954944027	5.8823985040538753	0.27684490855947264	False	False
tumour	TIGIT	P1	5.6951586784753561	5.9891390073682329	0.29398032889287684	False	True
tumour	TIGIT	P12	4.9217219470096039	5.2712762591759255	0.3495543121663216	False	False
tumour	TIGIT	P13	5.276496665640356	5.3680698765320827	0.091573210891726653	False	False
tumour	TIGIT	P14	5.9551267812613657	4.9891390073682329	-0.96598777389313284	False	False
tumour	TIGIT	P15	5.4396231375571169	5.273888823668492	-0.16573431388862492	False	False
tumour	TIGIT	P16	5.3736482113346904	5.031659854308054	-0.34198835702663644	False	False
tumour	TIGIT	P17	5.145269856650506	5.674404153937691	0.52913429728718508	False	False
tumour	TIGIT	P18	5.1795110502715103	5.4269356196483365	0.24742456937682622	False	False
tumour	TIGIT	P19	4.854494418154875	5.2410774581750372	0.38658304002016219	False	False
tumour	TIGIT	P2	5.0531113364595628	4.3715588626119626	-0.6815524738476002	False	False
tumour	TIGIT	P20	4.6553518286125541	5.8145504234618084	1.1591985948492542	False	False
tumour	TIGIT	P21	5.0413306068206225	4.6735564239901448	-0.36777418283047769	False	False
tumour	TIGIT	P24	5.5397791916984938	6.0851271802133242	0.54534798851483046	False	False
tumour	TIGIT	P3	5.4154882710496999	5.3774708428496476	-0.038017428200052272	False	False
tumour	TIGIT	P34	5.0548484769956197	5.4649949272654288	0.41014645026980912	False	False
tumour	TIGIT	P35	6.1143670249520001	5.8554914431018741	-0.25887558185012605	False	True
tumour	TIGIT	P37	5.1965283609369415	5.9408714781891963	0.74434311725225477	False	False
tumour	TIGIT	P4	4.6650516142892142	5.324090516037983	0.65903890174876878	False	False
tumour	TIGIT	P40	5.0729632715552242	6.1771205028465159	1.1041572312912917	False	False
tumour	TIGIT	P44	6.1534000277350609	5.3547342399706039	-0.79866578776445696	False	False
tumour	TIGIT	P5	4.7623488156441294	4.93969674069176	0.17734792504763064	False	False
tumour	TIGIT	P7	4.7865963618908065	4.920769673020648	0.13417331112984154	False	False
tumour	TIGIT	P9	5.0351839966183363	4.6644828403646823	-0.37070115625365396	False	False
tumour	VSIR	P1	5.8752885982226903	6.6711518138256327	0.79586321560294238	False	True
tumour	VSIR	P12	6.2249663650002747	6.0550654725650874	-0.16990089243518725	True	True
tumour	VSIR	P13	5.5870648983631712	5.7444302299879224	0.15736533162475119	False	False
tumour	VSIR	P14	6.1981012093248227	5.6587827340128278	-0.53931847531199484	False	False
tumour	VSIR	P15	5.5548957754190118	5.7771566660045011	0.22226089058548926	False	False
tumour	VSIR	P16	5.5254425060181207	5.1610814822771838	-0.36436102374093693	False	False
tumour	VSIR	P17	5.1961348807651611	6.3739961421312366	1.1778612613660755	False	False
tumour	VSIR	P18	5.2920454924928624	5.7821464235546358	0.49010093106177344	False	False
tumour	VSIR	P19	5.6322682154995132	5.7959746942066683	0.16370647870715516	False	False
tumour	VSIR	P2	5.9558242408064412	6.8484977553851456	0.89267351457870436	True	True
tumour	VSIR	P20	5.0391383939069581	6.0212576205605188	0.98211922665356077	False	False
tumour	VSIR	P21	5.4750848829487824	6.2748207370404012	0.79973585409161885	False	True
tumour	VSIR	P24	5.7977912004788879	5.9179090738529823	0.12011787337409441	False	False
tumour	VSIR	P3	6.5914101429821352	6.2139304637292101	-0.37747967925292514	True	False
tumour	VSIR	P34	6.1143670249520001	6.3854310371935199	0.27106401224151977	False	True
tumour	VSIR	P35	6.2925977202664525	6.692371399708664	0.39977367944221154	False	True
tumour	VSIR	P37	5.4459252985792732	5.4389581478975497	-0.0069671506817234885	False	False
tumour	VSIR	P4	5.5397791916984938	5.6366246205436488	0.096845428845155013	True	False
tumour	VSIR	P40	5.892148127513825	5.9943534368588578	0.1022053093450328	True	False
tumour	VSIR	P44	6.2643487633511663	7.6879005224807457	1.4235517591295794	False	True
tumour	VSIR	P5	4.8996590263774431	6.0074197835719136	1.1077607571944705	False	True
tumour	VSIR	P7	5.5867647433551415	5.6073303137496104	0.020565570394468935	False	False
tumour	VSIR	P9	5.7863349804169708	6.0433007543641821	0.25696577394721132	True	True
