aoi_label	gsm_id	aoi_code	patient_id	compartment	dsp_run	raw	trimmed	stitched	aligned	deduplicated	n_probes	pct_aligned	pct_trimmed_retained	sequencing_saturation	umiq30	rtsq30	negprobe	q3_norm_sum	detection_at_1x	detection_at_1.25x	detection_at_1.5x	detection_at_1.75x	detection_at_2x	detection_at_2.5x	detection_at_3x	detection_at_4x	detection_at_5x	gene_detection_rate	qc_flag	qc_reason
TBME01	GSM6573698	TBME	P1	glial_stroma	DSP-1012300141221	5877186	5852345	5823050	5554103	1179516	18834	0.945028	0.995773	0.787632	0.9922	0.9927	44.29	1671288.92	0.925056	0.801273	0.600139	0.407671	0.271798	0.13967	0.079651	0.037606	0.023751	0.271798	False	
TBME10	GSM6573730	TBME	P10	glial_stroma	DSP-1012300141221	3754187	3748879	3730144	3568650	1325001	18834	0.950579	0.998586	0.628711	0.9922	0.9921	26.94	1694934.66	0.954103	0.879587	0.777629	0.66845	0.553868	0.412967	0.30261	0.173746	0.112336	0.553868	False	
TBME11	GSM6573768	TBME	P11	glial_stroma	DSP-1012300141221	2000643	1998001	1986999	1795577	630580	18834	0.8975	0.998679	0.648815	0.9923	0.9927	41.75	1907229.51	0.881941	0.711405	0.567722	0.39847	0.305874	0.174441	0.109233	0.05467	0.036482	0.305874	False	
TBME13	GSM6573739	TBME	P13	glial_stroma	DSP-1012300141221	2786959	2781899	2767303	2632581	929771	18834	0.944607	0.998184	0.646822	0.9929	0.9926	75.9	1585739.17	0.527174	0.199904	0.068846	0.032791	0.021344	0.012464	0.007917	0.004226	0.002407	0.021344	True	gene detection rate below threshold (0.02134 < 0.05)
TBME15a	GSM6573747	TBME	P15	glial_stroma	DSP-1012300141221	4297787	4275777	4253117	3937357	1222805	18834	0.916136	0.994879	0.689435	0.992	0.9919	47.46	2017007.02	0.851396	0.651974	0.432331	0.302771	0.219215	0.124639	0.078795	0.041885	0.029314	0.219215	False	
TBME15b	GSM6573770	TBME	P15	glial_stroma	DSP-1012300141221	7676977	7665074	7622894	6938930	2050574	18834	0.903862	0.99845	0.704483	0.9921	0.9922	46.65	2698708.62	0.902215	0.708516	0.48652	0.341874	0.232267	0.124585	0.078367	0.041778	0.026907	0.232267	False	
TBME16	GSM6573749	TBME	P16	glial_stroma	DSP-1012300141221	12915833	12848739	12779834	12137735	2377478	18834	0.939756	0.994805	0.804125	0.9923	0.9919	66.37	1668015.76	0.695464	0.359581	0.169894	0.09372	0.059912	0.0314	0.020702	0.011341	0.007543	0.059912	False	
TBME17	GSM6573752	TBME	P17	glial_stroma	DSP-1012300141221	13836480	13772044	13697794	12718185	2805788	18834	0.919178	0.995343	0.779388	0.9925	0.9924	71.32	1703781.82	0.664705	0.280143	0.110089	0.061892	0.039692	0.022414	0.01455	0.008024	0.005296	0.039692	True	gene detection rate below threshold (0.03969 < 0.05)
TBME18	GSM6573754	TBME	P18	glial_stroma	DSP-1012300141221	12815018	12757773	12693580	12004212	2855359	18834	0.93673	0.995533	0.762137	0.9919	0.9919	64.58	1678440.42	0.730288	0.386969	0.200385	0.112763	0.074462	0.039852	0.026854	0.013801	0.008933	0.074462	False	
TBME19	GSM6573775	TBME	P19	glial_stroma	DSP-1012300141221	3178614	3168228	3151011	2932608	975908	18834	0.922606	0.996733	0.667222	0.9929	0.9924	58.88	1699769.91	0.763507	0.468814	0.269605	0.163421	0.103295	0.053654	0.034503	0.019685	0.01348	0.103295	False	
