signature	method	model	formula	term	estimate	std_error	df	ci_low	ci_high	t_value	p_raw	is_singular	n_obs	n_patient	n_lung	n_brain	df_method	warnings	messages	q_bh	delta_vs_primary
myeloid_m2	ssgsea	sensitivity	score ~ site + dsp_run + (1|patient_id)	brain_vs_lung	0.00667759285549618	0.0509808064838508	19.9999999998227	-0.0996665059820117	0.113021691693004	0.130982487646825	0.89709775359372	TRUE	23	16	15	8	satterthwaite		boundary (singular) fit: see help('isSingular')	0.89709775359372	-0.00415269241566632
tls	ssgsea	sensitivity	score ~ site + dsp_run + (1|patient_id)	brain_vs_lung	-0.370704524901152	0.09423570238897	19.9999999999077	-0.567276755512026	-0.174132294290278	-3.93380126112948	0.000821271104506267	TRUE	23	16	15	8	satterthwaite		boundary (singular) fit: see help('isSingular')	0.0024638133135188	0.00116887963294821
antigen_presentation	zscore	primary	score ~ site + (1|patient_id)	brain_vs_lung	-0.477422647572272	0.23887024504546	7.83523694948788	-1.03028116635497	0.0754358712104267	-1.99866939258764	0.0814334766053979	FALSE	23	16	15	8	satterthwaite			0.0977201719264775	NA
cytotoxicity	zscore	primary	score ~ site + (1|patient_id)	brain_vs_lung	-0.946025690243513	0.309624796451067	21.0000000002458	-1.58992570361368	-0.302125676873343	-3.05539382209339	0.00600889239656373	TRUE	23	16	15	8	satterthwaite		boundary (singular) fit: see help('isSingular')	0.0180266771896912	NA
exhaustion	zscore	primary	score ~ site + (1|patient_id)	brain_vs_lung	-0.724474714495603	0.199637558341776	17.6338671039355	-1.14452275376374	-0.304426675227465	-3.62894998573022	0.00197336983147168	FALSE	23	16	15	8	satterthwaite			0.0118402189888301	NA
myeloid_m1	zscore	primary	score ~ site + (1|patient_id)	brain_vs_lung	-0.292405100428688	0.131276212263745	12.6705559078478	-0.576761525470786	-0.00804867538658938	-2.2274035439202	0.0447139163900087	FALSE	23	16	15	8	satterthwaite			0.067070874585013	NA
myeloid_m2	zscore	primary	score ~ site + (1|patient_id)	brain_vs_lung	0.0907003806328073	0.203514490247804	20.9999999995264	-0.332531170889803	0.513931932155418	0.445670382105807	0.660396090176737	TRUE	23	16	15	8	satterthwaite		boundary (singular) fit: see help('isSingular')	0.660396090176737	NA
tls	zscore	primary	score ~ site + (1|patient_id)	brain_vs_lung	-0.859740806905521	0.319900174623608	20.9999999994712	-1.5250096389846	-0.194471974826444	-2.68752840762618	0.0137855802471294	TRUE	23	16	15	8	satterthwaite		boundary (singular) fit: see help('isSingular')	0.0275711604942589	NA
antigen_presentation	zscore	sensitivity	score ~ site + dsp_run + (1|patient_id)	brain_vs_lung	-0.493649527884227	0.242054726881983	7.4439625452095	-1.05917010143062	0.0718710456621672	-2.03941288089331	0.0783766224814111	FALSE	23	16	15	8	satterthwaite			0.0940519469776934	-0.0162268803119556
cytotoxicity	zscore	sensitivity	score ~ site + dsp_run + (1|patient_id)	brain_vs_lung	-0.992544909390318	0.313319198451932	19.9999999999086	-1.64611730468788	-0.338972514092758	-3.16783942476028	0.00483830359958359	TRUE	23	16	15	8	satterthwaite		boundary (singular) fit: see help('isSingular')	0.0145149107987508	-0.046519219146805
exhaustion	zscore	sensitivity	score ~ site + dsp_run + (1|patient_id)	brain_vs_lung	-0.740969269508286	0.205779363778209	17.0445322610899	-1.17503938460455	-0.306899154412026	-3.60079483143368	0.0021973441125993	FALSE	23	16	15	8	satterthwaite			0.0131840646755958	-0.0164945550126833
myeloid_m1	zscore	sensitivity	score ~ site + dsp_run + (1|patient_id)	brain_vs_lung	-0.274099503850868	0.134318898770828	12.0745878824953	-0.566554866484556	0.0183558587828201	-2.04066223263587	0.063772804470145	FALSE	23	16	15	8	satterthwaite			0.0940519469776934	0.0183055965778197
myeloid_m2	zscore	sensitivity	score ~ site + dsp_run + (1|patient_id)	brain_vs_lung	0.0513610196648078	0.202610472286863	19.9999999997809	-0.371277019559158	0.473999058888773	0.253496372053707	0.802472277605203	TRUE	23	16	15	8	satterthwaite		boundary (singular) fit: see help('isSingular')	0.802472277605203	-0.0393393609679995
tls	zscore	sensitivity	score ~ site + dsp_run + (1|patient_id)	brain_vs_lung	-0.867402481705765	0.331354525566909	19.9999999999521	-1.55859591012456	-0.176209053286966	-2.61774750238205	0.0164812740714563	TRUE	23	16	15	8	satterthwaite		boundary (singular) fit: see help('isSingular')	0.0329625481429126	-0.00766167480024393
