gene	published_log2fc	reproduced_log2fc	abs_diff_log2fc	published_p	reproduced_p	rel_diff_p	published_q
IFI30	1.60133028030395	1.6013304400281214	1.5972417144460849e-07	0.000129125808939274	0.00012912573393494546	5.8086240972698988e-07	0.0068192288082478299
COL1A1	3.4618959426879798	3.4619034913464262	7.5486584463213546e-06	0.000134646436004571	0.00013464480523209187	1.2111516112245369e-05	0.0069539223359855098
RPS18	1.5620409250259399	1.5620422086067016	1.2835807616795591e-06	0.00014823445834613399	0.00014825296075842855	0.00012481856446200368	0.0072010506885136103
RPL27A	1.6004496812820399	1.6004520903300286	2.4090479886496041e-06	0.00015773525849702399	0.00015773556165131979	1.9219184010932366e-06	0.0073366207115826898
CDH11	1.5311856269836399	1.5311856388391671	1.1855527226600771e-08	0.000159221814338865	0.0001592214381455274	2.3626997290859819e-06	0.0073679500471908301
MGP	3.5806131362914999	3.5806143588407364	1.222549236512549e-06	0.00016635295767714099	0.00016635122728750855	1.0401916843649772e-05	0.0075484673392576798
C1orf61	-1.8396233320236199	-1.8396233116192144	2.0404405498553047e-08	0.00016679155142135699	0.00016679133796409476	1.2797846198342455e-06	0.0075500437138553804
ACTA2	2.11585140228271	2.1158639538814903	1.2551598780330409e-05	0.00017350748161577601	0.00017351806652442372	6.1005488346310699e-05	0.0076471110866247697
POU3F3	-1.56684029102325	-1.5668402738843339	1.7138916064141085e-08	0.00018044163974380699	0.0001804415289232169	6.1416306262884746e-07	0.0077998058106362803
MXRA8	1.6920180320739699	1.6920179742650525	5.780891743079053e-08	0.000194305265300642	0.00019430505261670096	1.094586606908976e-06	0.0079873551379768693
FGF1	-1.6698249578475901	-1.6698248541468637	1.037007264503842e-07	0.00019841668525614101	0.00019841664907783928	1.823349768947935e-07	0.00806391289318166
SLC1A2	-2.1499829292297301	-2.1499831969427801	2.6771304995065748e-07	0.00020016436459146901	0.00020016433385908872	1.535357222470779e-07	0.0080937982294387294
AQP4	-2.75465583801269	-2.7546557706446757	6.7368014278201827e-08	0.00022299159176600701	0.000222991705571797	5.1035910852981203e-07	0.0083480741904953804
COL5A1	2.1670777797698899	2.1670815707642177	3.7909943277902869e-06	0.000227401075325837	0.00022740820043830418	3.1332800238370595e-05	0.0083480741904953804
DTNA	-2.0733976364135698	-2.0733977335524267	9.7138856958167707e-08	0.00025603621224847901	0.00025603669839482663	1.8987405858705841e-06	0.0090143069453584197
NID1	1.6911151409149101	1.6911151713576142	3.0442704135325016e-08	0.00028157081076756802	0.00028157105810409808	8.7841679818900786e-07	0.0093489545392056693
OLFM1	-1.59758508205413	-1.5975850702381287	1.1816001288522671e-08	0.00029779478802705403	0.00029779488703283704	3.3246311548218443e-07	0.0094545574289033405
PFN1	1.5607814788818299	1.5607812709491169	2.0793271304775374e-07	0.00031551789476500099	0.00031551874271792805	2.6874955150191226e-06	0.0097120702229243506
ITGB1	1.69177734851837	1.6917698548162416	7.4937021283805194e-06	0.00034754632738162703	0.00034753059721068572	4.5260644990330334e-05	0.0102033803903827
COL5A2	1.6444342136382999	1.6444340043472003	2.0929109956213665e-07	0.00038922895955143601	0.00038923007893997604	2.8759127823629882e-06	0.0105997673173353
GFAP	-4.2202286720275799	-4.2202397758906258	1.1103863045924811e-05	0.00040199623484961301	0.00040198068577801941	3.8679644846495442e-05	0.0107366275150507
TSPAN7	-1.5191853046417201	-1.5191854784010781	1.7375935801311471e-07	0.00044586691482988101	0.0004458660221150168	2.0022002855668575e-06	0.011294691019979101
BGN	2.1079740524291899	2.1079717158166345	2.3366125554424855e-06	0.00044877698579355298	0.00044877182698973818	1.1495250376247768e-05	0.011303931723885
ATP1B2	-2.1038804054260201	-2.1038804237276434	1.8301623327943162e-08	0.000458747415642421	0.00045874769753977552	6.1449360777565687e-07	0.011374380550974899
