aoi_label	aoi_code	site	quantum	n_distinct_values	n_genes	lattice_fraction	smallest_value_implied_counts	dcc_median_counts	implied_median_counts	dcc_ratio	dcc_agrees	counts_reliable	negprobe_implied_counts	max_implied_counts
L07	L	lung	1.0200000000000102	803	18694	1	4.0098039215685874	45	45.127450980391707	1.0028322440087045	True	True	24.784313725489948	45199.999999999549
L09	L	lung	0.71999999999999886	1001	18694	1	9.0277777777777928	67	68.236111111111228	1.0184494195688243	True	True	35.736111111111171	44440.277777777846
L11	L	lung	1.1800000000000068	636	18694	1	4.0084745762711638	47	47.093220338982782	1.0019834114677189	True	True	19.711864406779547	52653.389830508168
L12	L	lung	0.34000000000000341	1622	18694	1	14.205882352941034	130	132.88235294117513	1.0221719457013472	True	True	68.852941176469898	89723.529411763811
L13	L	lung	0.51999999999999602	1182	18694	1	12.923076923077021	95	94.500000000000725	0.9947368421052708	True	True	55.500000000000426	75301.92307692366
L14	L	lung	1.0300000000000011	591	18694	1	12.048543689320375	63	63.281553398058186	1.0044691015564791	True	True	47.165048543689267	87046.601941747474
L15	L	lung	0.32999999999999829	1356	18694	1	29.878787878788032	169	169.30303030303116	1.0017930787161606	True	True	101.15151515151568	221242.42424242539
L16	L	lung	0.92000000000000171	677	18694	1	10.999999999999979	64	64.978260869565105	1.0152853260869548	True	True	39.391304347826015	29893.47826086951
L17	L	lung	0.25	1794	18694	1	24.280000000000001	179	182.08000000000001	1.0172067039106145	True	True	91.560000000000002	109896
L18	L	lung	2.9399999999999977	402	18694	1	1.0000000000000007	19	18.979591836734709	0.99892588614393207	True	True	10.683673469387763	17641.156462585048
L19	L	lung	0.35999999999999943	1378	18694	1	21.1666666666667	134	136.027777777778	1.015132669983418	True	True	69.222222222222342	120522.22222222241
L20	L	lung	0.38000000000000256	1364	18694	1	20.210526315789338	121	123.34210526315705	1.0193562418442732	True	True	59.447368421052232	77913.157894736316
L21	L	lung	0.67999999999999972	1047	18694	1	9.9852941176470633	72	72.941176470588275	1.0130718954248372	True	True	40.014705882352956	73627.941176470616
L22	L	lung	1.6899999999999977	581	18694	0.94999999999999996	2.9940828402366901	30	29.928994082840276	0.99763313609467585	True	True	15.568047337278127	30095.26627218939
L24	L	lung	4.5500000000000114	276	18694	0.94999999999999996	0.99999999999999745	14	14.006593406593371	1.0004709576138122	True	True	8.2703296703296498	8501.9780219780005
L26	L	lung	1.2300000000000004	672	18694	1	1.9999999999999993	46	46.008130081300799	1.0001767408978435	True	True	27.235772357723569	18382.926829268286
L29	L	lung	3.0399999999999636	319	18694	1	0.99671052631580137	22	21.960526315789739	0.99820574162680631	True	True	15.858552631579137	34236.842105263568
L30	L	lung	6.5099999999999909	196	18694	0.20000000000000001	0.99846390168970955	10	9.9892473118279703	0.99892473118279701	True	False	6.8525345622119911	13676.344086021525
L32	L	lung	0.75	853	18694	1	10.026666666666666	71	72.226666666666674	1.0172769953051644	True	True	37.533333333333331	56128
L34	L	lung	1.8999999999999915	511	18694	1	1.994736842105272	30	29.947368421052765	0.99824561403509215	True	True	19.636842105263248	27146.84210526328
L35	L	lung	4.5500000000000114	250	18694	0.94999999999999996	0.99999999999999745	15	15.006593406593369	1.000439560439558	True	True	10.019780219780195	44876.923076922962
L37	L	lung	0.53000000000000114	1039	18694	1	13.056603773584877	104	104.47169811320732	1.0045355587808396	True	True	61.207547169811185	131035.84905660349
L40	L	lung	0.99000000000000199	741	18694	1	4.9999999999999902	52	51.97979797979788	0.99961149961149764	True	True	25.636363636363583	53897.979797979693
