interaction_name	interaction_name_2	pathway_name	annotation	site	direction	ligand	receptor	ligand_subunits	receptor_subunits	ligand_aoi_code	receptor_aoi_code	is_one_to_one	table	ligand_on_panel	receptor_on_panel	ligand_detection	receptor_detection	ligand_min_detection_rate	receptor_min_detection_rate	admitted	status	ligand_secreted_type	ligand_transmembrane	receptor_transmembrane	evidence
MDK_SDC1	MDK - SDC1	MK	Secreted Signaling	lung	ligand_immune__receptor_tumour	MDK	SDC1	MDK	SDC1	TIME-L	L	True	primary	True	True	MDK:15/15	SDC1:29/30	1.0	0.9666666666666667	True	admitted	growth factor	False	True	PMID: 28356350
MDK_SDC2	MDK - SDC2	MK	Secreted Signaling	brain	ligand_tumour__receptor_immune	MDK	SDC2	MDK	SDC2	LB	TIME-B	True	primary	True	True	MDK:22/27	SDC2:4/8	0.8148148148148148	0.5	True	admitted	growth factor	False	True	PMID: 28356350
MDK_SDC4	MDK - SDC4	MK	Secreted Signaling	brain	ligand_tumour__receptor_immune	MDK	SDC4	MDK	SDC4	LB	TIME-B	True	primary	True	True	MDK:22/27	SDC4:5/8	0.8148148148148148	0.625	True	admitted	growth factor	False		PMID: 28356350
MDK_SDC4	MDK - SDC4	MK	Secreted Signaling	brain	ligand_immune__receptor_tumour	MDK	SDC4	MDK	SDC4	TIME-B	LB	True	primary	True	True	MDK:8/8	SDC4:26/27	1.0	0.9629629629629629	True	admitted	growth factor	False		PMID: 28356350
MDK_SDC4	MDK - SDC4	MK	Secreted Signaling	lung	ligand_tumour__receptor_immune	MDK	SDC4	MDK	SDC4	L	TIME-L	True	primary	True	True	MDK:30/30	SDC4:13/15	1.0	0.8666666666666667	True	admitted	growth factor	False		PMID: 28356350
MDK_SDC4	MDK - SDC4	MK	Secreted Signaling	lung	ligand_immune__receptor_tumour	MDK	SDC4	MDK	SDC4	TIME-L	L	True	primary	True	True	MDK:15/15	SDC4:30/30	1.0	1.0	True	admitted	growth factor	False		PMID: 28356350
MDK_LRP1	MDK - LRP1	MK	Secreted Signaling	brain	ligand_tumour__receptor_immune	MDK	LRP1	MDK	LRP1	LB	TIME-B	True	primary	True	True	MDK:22/27	LRP1:8/8	0.8148148148148148	1.0	True	admitted	growth factor	False		PMID: 28356350
MDK_LRP1	MDK - LRP1	MK	Secreted Signaling	brain	ligand_immune__receptor_tumour	MDK	LRP1	MDK	LRP1	TIME-B	LB	True	primary	True	True	MDK:8/8	LRP1:20/27	1.0	0.7407407407407407	True	admitted	growth factor	False		PMID: 28356350
MDK_LRP1	MDK - LRP1	MK	Secreted Signaling	lung	ligand_tumour__receptor_immune	MDK	LRP1	MDK	LRP1	L	TIME-L	True	primary	True	True	MDK:30/30	LRP1:15/15	1.0	1.0	True	admitted	growth factor	False		PMID: 28356350
MDK_LRP1	MDK - LRP1	MK	Secreted Signaling	lung	ligand_immune__receptor_tumour	MDK	LRP1	MDK	LRP1	TIME-L	L	True	primary	True	True	MDK:15/15	LRP1:27/30	1.0	0.9	True	admitted	growth factor	False		PMID: 28356350
MDK_NCL	MDK - NCL	MK	Secreted Signaling	brain	ligand_tumour__receptor_immune	MDK	NCL	MDK	NCL	LB	TIME-B	True	primary	True	True	MDK:22/27	NCL:8/8	0.8148148148148148	1.0	True	admitted	growth factor	False		PMID: 28356350
MDK_NCL	MDK - NCL	MK	Secreted Signaling	brain	ligand_immune__receptor_tumour	MDK	NCL	MDK	NCL	TIME-B	LB	True	primary	True	True	MDK:8/8	NCL:26/27	1.0	0.9629629629629629	True	admitted	growth factor	False		PMID: 28356350
MDK_NCL	MDK - NCL	MK	Secreted Signaling	lung	ligand_tumour__receptor_immune	MDK	NCL	MDK	NCL	L	TIME-L	True	primary	True	True	MDK:30/30	NCL:15/15	1.0	1.0	True	admitted	growth factor	False		PMID: 28356350
MDK_NCL	MDK - NCL	MK	Secreted Signaling	lung	ligand_immune__receptor_tumour	MDK	NCL	MDK	NCL	TIME-L	L	True	primary	True	True	MDK:15/15	NCL:30/30	1.0	1.0	True	admitted	growth factor	False		PMID: 28356350
PTN_SDC1	PTN - SDC1	PTN	Secreted Signaling	brain	ligand_immune__receptor_tumour	PTN	SDC1	PTN	SDC1	TIME-B	LB	True	primary	True	True	PTN:5/8	SDC1:25/27	0.625	0.9259259259259259	True	admitted	growth factor	False	True	PMID: 28356350; PMID: 25620911
