signature	arm	method	group	time_months	survival
tls	lung	ssgsea	high	37	0.33333333333333337
tls	lung	ssgsea	high	38	0.16666666666666669
tls	lung	ssgsea	high	43	0
tls	lung	ssgsea	low	15	0.66666666666666674
tls	lung	ssgsea	low	85	0.5
tls	lung	ssgsea	low	115	0.16666666666666669
tls	lung	ssgsea	low	143	0
tls	lung	zscore	high	13	0.83333333333333337
tls	lung	zscore	high	15	0.66666666666666674
tls	lung	zscore	high	33	0.5
tls	lung	zscore	high	37	0.33333333333333337
tls	lung	zscore	high	38	0.16666666666666669
tls	lung	zscore	high	43	0
tls	lung	zscore	low	15	0.66666666666666674
tls	lung	zscore	low	85	0.5
tls	lung	zscore	low	115	0.16666666666666669
tls	lung	zscore	low	143	0
