signature	arm	aoi_code	method	is_primary_method	split	test	n_cohort	n_in_fit	n_excluded	assessable	coverage	median_score	n_high	n_low	n_events_high	n_events_low	median_months_high	median_months_low	estimate	std_error	hazard_ratio	ci_low	ci_high	p_raw	p_raw_logrank	p_raw_cox	logrank_chisq	p_agreement_delta	wiring_residual	ci_excludes_one	significance_disagreement	status	note	table	fdr
exhaustion	lung	TIME-L	ssgsea	True	median	logrank	13	12	1	True	0.66666666666666663	0.24753789030777454	6	6	6	6	24	64	0.78269651603321633	0.61817779151856533	2.1873625785307644	0.65121873718733114	7.3470782960294603	0.1597014319273321	0.1597014319273321	0.20546476658298429	1.9770509135543932	0.045763334655652188	3.3306690738754696e-16	False	False	modelled		exploratory	none — no claim may rest on this table (ADR 0018)
exhaustion	lung	TIME-L	zscore	False	median	logrank	13	12	1	True	0.66666666666666663	0.20413222136875603	6	6	6	6	38	37.5	0.35076159135125062	0.61229354612491194	1.4201487098143659	0.4277092199125323	4.7154053831242013	0.53508108644880825	0.53508108644880825	0.56673604998153659	0.38473290545761263	0.031654963532728342	1.1102230246251565e-16	False	False	modelled		exploratory	none — no claim may rest on this table (ADR 0018)
myeloid_m1	brain	TIME-B	ssgsea	True	median	logrank	8	7	1	True	0.20000000000000001	-0.0079151616673898209	3	4	3	4	22	24	0.82864999450003718	0.92019737175416005	2.2902248362152902	0.37722867410485267	13.90437726629297	0.35485348595309307	0.35485348595309307	0.36784713760479471	0.85602491876405984	0.012993651651701632	2.2204460492503131e-16	False	False	modelled		exploratory	none — no claim may rest on this table (ADR 0018)
myeloid_m1	brain	TIME-B	zscore	False	median	logrank	8	7	1	True	0.20000000000000001	-0.246656453213903	3	4	3	4	22	20.5	0.53280488960415529	0.92729471848896616	1.7037043155368472	0.27674483747200068	10.488392200170834	0.56139000182196974	0.56139000182196974	0.56557546151304827	0.33730322726077272	0.0041854596910785302	0	False	False	modelled		exploratory	none — no claim may rest on this table (ADR 0018)
myeloid_m1	lung	TIME-L	ssgsea	True	median	logrank	13	12	1	True	0.20000000000000001	0.13911720054793555	6	6	6	6	35.5	40	0.32428408436840511	0.61303518731952378	1.3830401514042678	0.41592812751932795	4.5988716170859441	0.56709437301950816	0.56709437301950816	0.59681849683368171	0.32756848350499029	0.029724123814173553	1.1102230246251565e-16	False	False	modelled		exploratory	none — no claim may rest on this table (ADR 0018)
myeloid_m1	lung	TIME-L	zscore	False	median	logrank	13	12	1	True	0.20000000000000001	0.22286873493158815	6	6	6	6	100	15	-1.8790327088534817	0.84393631988008266	0.15273777622388243	0.029213700017283201	0.79855780924754982	0.0090589000124152025	0.0090589000124152025	0.025980035690676282	6.8111776813365017	0.01692113567826108	0	True	False	modelled		exploratory	none — no claim may rest on this table (ADR 0018)
myeloid_m2	brain	TIME-B	ssgsea	True	median	logrank	8	7	1	True	0.66666666666666663	0.42635221237276727	3	4	3	4	24	18.5	0.0032679947284554559	0.82841605358923442	1.0032733404448995	0.19782002337227514	5.0882482899784076	0.99685245495785402	0.99685245495785402	0.9968524562453932	1.5562022440436249e-05	1.2875391863786945e-09	2.2854981795994433e-16	False	False	modelled		exploratory	none — no claim may rest on this table (ADR 0018)
myeloid_m2	brain	TIME-B	zscore	False	median	logrank	8	7	1	True	0.66666666666666663	0.19778504364255761	3	4	3	4	24	18.5	0.0032679947284554559	0.82841605358923442	1.0032733404448995	0.19782002337227514	5.0882482899784076	0.99685245495785402	0.99685245495785402	0.9968524562453932	1.5562022440436249e-05	1.2875391863786945e-09	2.2854981795994433e-16	False	False	modelled		exploratory	none — no claim may rest on this table (ADR 0018)
myeloid_m2	lung	TIME-L	ssgsea	True	median	logrank	13	12	1	True	0.66666666666666663	0.39576314254360045	6	6	6	6	24	40.5	0.34970258812666905	0.62171909997757435	1.41864556381	0.41943594587522259	4.7982421523702818	0.54162855840717206	0.54162855840717206	0.5737911860533057	0.37252974648916792	0.032162627646133646	2.2204460492503131e-16	False	False	modelled		exploratory	none — no claim may rest on this table (ADR 0018)
myeloid_m2	lung	TIME-L	zscore	False	median	logrank	13	12	1	True	0.66666666666666663	-0.061506542891565125	6	6	6	6	24	40.5	0.59151400598478143	0.61231288763490244	1.8067217332629362	0.54411361596866392	5.9991945168169067	0.29005680237419729	0.29005680237419729	0.33402803602596676	1.1193576879455471	0.04397123365176947	2.2204460492503131e-16	False	False	modelled		exploratory	none — no claim may rest on this table (ADR 0018)
tls	brain	TIME-B	ssgsea	True	median	logrank	8	7	1	True	0.20000000000000001	-0.14024925281793396	3	4	3	4	22	19.5	0.34657359027997259	0.82474977906761837	1.4142135623730949	0.28085794453141427	7.1210376595784632	0.67287889775793719	0.67287889775793719	0.67432719166816601	0.17825300631405269	0.0014482939102288261	2.2204460492503131e-16	False	False	modelled		exploratory	none — no claim may rest on this table (ADR 0018)
tls	brain	TIME-B	zscore	False	median	logrank	8	7	1	True	0.20000000000000001	-0.59339332525486665	3	4	3	4	15	28.5	1.7438276917019175	1.1659702017141709	5.7191928866431185	0.58191440605244682	56.209585008419971	0.093147144940876614	0.093147144940876614	0.13475732874675239	2.8191254095088412	0.041610183805875778	2.2204460492503131e-16	False	False	modelled		exploratory	none — no claim may rest on this table (ADR 0018)
tls	lung	TIME-L	ssgsea	True	median	logrank	13	12	1	True	0.59999999999999998	0.27016666531174882	6	6	6	6	35	100	1.5055188840536506	0.83517727004455022	4.5064913702379732	0.87686828507941161	23.160222368163463	0.041552370514014655	0.041552370514014655	0.07144572476323921	4.1533446518933417	0.029893354249224555	2.2204460492503131e-16	False	True	modelled		exploratory	none — no claim may rest on this table (ADR 0018)
tls	lung	TIME-L	zscore	False	median	logrank	13	12	1	True	0.59999999999999998	0.24518615842054139	6	6	6	6	35	100	1.5055188840536506	0.83517727004455022	4.5064913702379732	0.87686828507941161	23.160222368163463	0.041552370514014655	0.041552370514014655	0.07144572476323921	4.1533446518933417	0.029893354249224555	2.2204460492503131e-16	False	True	modelled		exploratory	none — no claim may rest on this table (ADR 0018)
