rank	interaction_name	interaction_name_2	pathway_name	annotation	site	direction	ligand	receptor	ligand_subunits	receptor_subunits	ligand_aoi_code	receptor_aoi_code	table	n	rho	abs_rho	p_raw	n_detected_both	frac_detected_both	rho_detected_only	p_detected_only	delta_vs_primary	sensitivity_status	ligand_detection	receptor_detection	ligand_secreted_type	ligand_transmembrane	receptor_transmembrane	evidence	empirical_fdr	null_a_n_permutations	abundance_matched_p	abundance_decile_tumour	abundance_decile_immune	clears_empirical_fdr	clears_abundance_matched
22	COL6A2_SDC4	COL6A2 - SDC4	COLLAGEN	ECM-Receptor	brain	ligand_immune__receptor_tumour	COL6A2	SDC4	COL6A2	SDC4	TIME-B	LB	primary	8	0.6904761904761906	0.6904761904761906	0.05799031816457273	7	0.875	0.7142857142857144	0.07134356146753763	0.023809523809523836	fitted	COL6A2:8/8	SDC4:26/27	secreted	False		KEGG: hsa04512	0.8430957446808511	10000	0.097990200979902	8	9	False	False
23	CXCL12_CXCR4	CXCL12 - CXCR4	CXCL	Secreted Signaling	brain	ligand_tumour__receptor_immune	CXCL12	CXCR4	CXCL12	CXCR4	LB	TIME-B	primary	8	-0.6904761904761906	0.6904761904761907	0.05799031816457273	6	0.75	-0.2571428571428572	0.6227871720116619	0.4333333333333334	fitted	CXCL12:22/27	CXCR4:8/8	cytokine;growth factor	False	True	KEGG: hsa04060	0.8430957446808511	10000	0.05979402059794021	5	8	False	False
24	COL4A5_SDC1	COL4A5 - SDC1	COLLAGEN	ECM-Receptor	brain	ligand_immune__receptor_tumour	COL4A5	SDC1	COL4A5	SDC1	TIME-B	LB	primary	8	-0.6666666666666669	0.6666666666666667	0.07098765432098757	5	0.625				below_min_n (5 < 6)	COL4A5:5/8	SDC1:25/27	secreted	False	True	KEGG: hsa04512	0.8430957446808511	10000	0.09269073092690731	8	2	False	False
25	JAG2_NOTCH1	JAG2 - NOTCH1	NOTCH	Cell-Cell Contact	brain	ligand_tumour__receptor_immune	JAG2	NOTCH1	JAG2	NOTCH1	LB	TIME-B	primary	8	0.6666666666666669	0.6666666666666667	0.07098765432098757	6	0.75	0.7142857142857143	0.11078717201166179	0.04761904761904745	fitted	JAG2:20/27	NOTCH1:7/8		True	True	PMID: 22353464	0.8430957446808511	10000	0.09119088091190881	6	4	False	False
26	HLA-C_KIR2DS1	HLA-C - KIR2DS1	MHC-I	Cell-Cell Contact	brain	ligand_immune__receptor_tumour	HLA-C	KIR2DS1	HLA-C	KIR2DS1	TIME-B	LB	primary	8	-0.6666666666666669	0.6666666666666667	0.07098765432098757	4	0.5				below_min_n (4 < 6)	HLA-C:8/8	KIR2DS1:18/27		True		PMID: 28484462	0.8430957446808511	10000	0.13838616138386162	3	9	False	False
27	LPAR2_ADGRE5	LPAR2 - ADGRE5	ADGRE	Cell-Cell Contact	brain	ligand_immune__receptor_tumour	LPAR2	ADGRE5	LPAR2	ADGRE5	TIME-B	LB	primary	8	-0.6666666666666669	0.6666666666666667	0.07098765432098757	4	0.5				below_min_n (4 < 6)	LPAR2:5/8	ADGRE5:23/27		True	True	PMID: 31462748	0.8430957446808511	10000	0.07899210078992101	7	3	False	False
28	CD274_PDCD1	CD274 - PDCD1	PD-L1	Cell-Cell Contact	brain	ligand_immune__receptor_tumour	CD274	PDCD1	CD274	PDCD1	TIME-B	LB	primary	8	-0.6666666666666669	0.6666666666666667	0.07098765432098757	2	0.25				below_min_n (2 < 6)	CD274:5/8	PDCD1:14/27		True	True	PMID: 23954143	0.8430957446808511	10000	0.0760923907609239	3	3	False	False
29	ANGPTL4_SDC1	ANGPTL4 - SDC1	ANGPTL	Secreted Signaling	brain	ligand_tumour__receptor_immune	ANGPTL4	SDC1	ANGPTL4	SDC1	LB	TIME-B	primary	8	0.6666666666666669	0.6666666666666667	0.07098765432098757	4	0.5				below_min_n (4 < 6)	ANGPTL4:14/27	SDC1:5/8			True	PMID: 29017031	0.8430957446808511	10000	0.0776922307769223	5	4	False	False
33	APP_CD74	APP - CD74	APP	Cell-Cell Contact	brain	ligand_immune__receptor_tumour	APP	CD74	APP	CD74	TIME-B	LB	primary	8	-0.6428571428571429	0.642857142857143	0.08555889101267328	8	1.0	-0.6428571428571429	0.08555889101267328	0.0	fitted	APP:8/8	CD74:26/27		True	True	PMID: 19849849	0.8430957446808511	10000	0.14228577142285773	9	9	False	False
34	DLL3_NOTCH1	DLL3 - NOTCH1	NOTCH	Cell-Cell Contact	brain	ligand_tumour__receptor_immune	DLL3	NOTCH1	DLL3	NOTCH1	LB	TIME-B	primary	8	0.6428571428571429	0.642857142857143	0.08555889101267328	5	0.625				below_min_n (5 < 6)	DLL3:20/27	NOTCH1:7/8		True	True	PMID: 22353464	0.8430957446808511	10000	0.08789121087891211	3	4	False	False
35	COL6A1_SDC1	COL6A1 - SDC1	COLLAGEN	ECM-Receptor	brain	ligand_tumour__receptor_immune	COL6A1	SDC1	COL6A1	SDC1	LB	TIME-B	primary	8	0.6428571428571429	0.6428571428571429	0.08555889101267328	5	0.625				below_min_n (5 < 6)	COL6A1:27/27	SDC1:5/8	secreted	False	True	KEGG: hsa04512	0.8430957446808511	10000	0.11678832116788321	8	4	False	False
42	THBS3_SDC4	THBS3 - SDC4	THBS	ECM-Receptor	brain	ligand_immune__receptor_tumour	THBS3	SDC4	THBS3	SDC4	TIME-B	LB	primary	8	-0.6190476190476191	0.6190476190476192	0.1017330374542648	4	0.5				below_min_n (4 < 6)	THBS3:4/8	SDC4:26/27				KEGG: hsa04512	0.8430957446808511	10000	0.12068793120687932	8	2	False	False
43	PROS1_TYRO3	PROS1 - TYRO3	PROS	Secreted Signaling	brain	ligand_tumour__receptor_immune	PROS1	TYRO3	PROS1	TYRO3	LB	TIME-B	primary	8	0.6190476190476191	0.6190476190476191	0.1017330374542648	4	0.5				below_min_n (4 < 6)	PROS1:17/27	TYRO3:4/8			True	PMID: 30501104	0.8430957446808511	10000	0.08399160083991601	4	2	False	False
44	LAMC2_DAG1	LAMC2 - DAG1	LAMININ	ECM-Receptor	brain	ligand_tumour__receptor_immune	LAMC2	DAG1	LAMC2	DAG1	LB	TIME-B	primary	8	0.6190476190476191	0.6190476190476191	0.1017330374542648	4	0.5				below_min_n (4 < 6)	LAMC2:22/27	DAG1:4/8			True	KEGG: hsa04512	0.8430957446808511	10000	0.09709029097090291	7	2	False	False
46	PTN_SDC4	PTN - SDC4	PTN	Secreted Signaling	brain	ligand_immune__receptor_tumour	PTN	SDC4	PTN	SDC4	TIME-B	LB	primary	8	-0.5952380952380953	0.5952380952380953	0.11952980613879274	4	0.5				below_min_n (4 < 6)	PTN:5/8	SDC4:26/27	growth factor	False		PMID: 28356350; PMID: 25620911	0.8430957446808511	10000	0.146985301469853	8	2	False	False
47	HLA-E_KLRC2	HLA-E - KLRC2	MHC-I	Cell-Cell Contact	brain	ligand_tumour__receptor_immune	HLA-E	KLRC2	HLA-E	KLRC2	LB	TIME-B	primary	8	0.5952380952380953	0.5952380952380953	0.11952980613879274	6	0.75	0.028571428571428574	0.9571545189504373	-0.5666666666666668	fitted	HLA-E:26/27	KLRC2:6/8		True	True	PMID: 26697006	0.8430957446808511	10000	0.11448855114488551	9	3	False	False
48	PLAU_PLAUR	PLAU - PLAUR	PLAU	Secreted Signaling	brain	ligand_immune__receptor_tumour	PLAU	PLAUR	PLAU	PLAUR	TIME-B	LB	primary	8	0.5952380952380953	0.5952380952380953	0.11952980613879274	2	0.25				below_min_n (2 < 6)	PLAU:5/8	PLAUR:14/27	secreted	False	True	uniprot	0.8430957446808511	10000	0.13508649135086492	2	5	False	False
49	EFNA1_EPHA4	EFNA1 - EPHA4	EPHA	Cell-Cell Contact	brain	ligand_immune__receptor_tumour	EFNA1	EPHA4	EFNA1	EPHA4	TIME-B	LB	primary	8	0.5952380952380953	0.5952380952380952	0.11952980613879274	4	0.5				below_min_n (4 < 6)	EFNA1:5/8	EPHA4:14/27	secreted	True	True	PMID: 15114347	0.8430957446808511	10000	0.1212878712128787	5	4	False	False
54	COL9A2_CD44	COL9A2 - CD44	COLLAGEN	ECM-Receptor	brain	ligand_immune__receptor_tumour	COL9A2	CD44	COL9A2	CD44	TIME-B	LB	primary	8	-0.5714285714285715	0.5714285714285715	0.13895995716070678	4	0.5				below_min_n (4 < 6)	COL9A2:5/8	CD44:25/27	secreted	False	True	KEGG: hsa04512	0.8430957446808511	10000	0.12368763123687632	7	2	False	False
55	SIGLEC1_SPN	SIGLEC1 - SPN	SN	Cell-Cell Contact	brain	ligand_immune__receptor_tumour	SIGLEC1	SPN	SIGLEC1	SPN	TIME-B	LB	primary	8	-0.5714285714285715	0.5714285714285716	0.13895995716070678	5	0.625				below_min_n (5 < 6)	SIGLEC1:5/8	SPN:17/27	secreted	True	True	KEGG: hsa04514; PMID: 11238599	0.8430957446808511	10000	0.11328867113288671	4	5	False	False
56	APP_TNFRSF21	APP - TNFRSF21	APP	Cell-Cell Contact	brain	ligand_immune__receptor_tumour	APP	TNFRSF21	APP	TNFRSF21	TIME-B	LB	primary	8	0.5714285714285715	0.5714285714285715	0.13895995716070678	8	1.0	0.5714285714285715	0.13895995716070678	0.0	fitted	APP:8/8	TNFRSF21:25/27		True	True	PMID: 33075465	0.8430957446808511	10000	0.2024797520247975	8	9	False	False
57	FN1_CD44	FN1 - CD44	FN1	ECM-Receptor	brain	ligand_tumour__receptor_immune	FN1	CD44	FN1	CD44	LB	TIME-B	primary	8	0.5714285714285715	0.5714285714285715	0.13895995716070678	8	1.0	0.5714285714285715	0.13895995716070678	0.0	fitted	FN1:23/27	CD44:8/8	secreted	False	True	KEGG: hsa04512	0.8430957446808511	10000	0.15208479152084792	8	8	False	False
58	FN1_SDC4	FN1 - SDC4	FN1	ECM-Receptor	brain	ligand_tumour__receptor_immune	FN1	SDC4	FN1	SDC4	LB	TIME-B	primary	8	0.5714285714285715	0.5714285714285715	0.13895995716070678	5	0.625				below_min_n (5 < 6)	FN1:23/27	SDC4:5/8	secreted	False		KEGG: hsa04512	0.8430957446808511	10000	0.1715828417158284	8	4	False	False
59	MDK_SDC1	MDK - SDC1	MK	Secreted Signaling	brain	ligand_immune__receptor_tumour	MDK	SDC1	MDK	SDC1	TIME-B	LB	primary	8	-0.5714285714285715	0.5714285714285715	0.13895995716070678	8	1.0	-0.5714285714285715	0.13895995716070678	0.0	fitted	MDK:8/8	SDC1:25/27	growth factor	False	True	PMID: 28356350	0.8430957446808511	10000	0.1723827617238276	8	6	False	False
60	NTN4_UNC5B	NTN4 - UNC5B	Netrin	Cell-Cell Contact	brain	ligand_tumour__receptor_immune	NTN4	UNC5B	NTN4	UNC5B	LB	TIME-B	primary	8	-0.5714285714285715	0.5714285714285715	0.13895995716070678	6	0.75	-0.48571428571428577	0.3287230320699708	0.08571428571428574	fitted	NTN4:15/27	UNC5B:8/8	secreted	False	True	PMID: 31914695	0.8430957446808511	10000	0.1775822417758224	5	6	False	False
61	IGFBP3_TMEM219	IGFBP3 - TMEM219	IGFBP	Secreted Signaling	brain	ligand_tumour__receptor_immune	IGFBP3	TMEM219	IGFBP3	TMEM219	LB	TIME-B	primary	8	-0.5714285714285715	0.5714285714285715	0.13895995716070678	6	0.75	-0.3714285714285715	0.4684781341107872	0.2	fitted	IGFBP3:19/27	TMEM219:8/8	secreted	False	True	PMID:20353938	0.8430957446808511	10000	0.18908109189081093	6	6	False	False
66	VEGFB_VEGFR1	VEGFB - VEGFR1	VEGF	Secreted Signaling	brain	ligand_tumour__receptor_immune	VEGFB	FLT1	VEGFB	FLT1	LB	TIME-B	primary	8	-0.5476190476190477	0.5476190476190477	0.1600256425388966	5	0.625				below_min_n (5 < 6)	VEGFB:25/27	FLT1:5/8	growth factor	False	True	KEGG: hsa04370; PMID: 16633338	0.8430957446808511	10000	0.1790820917908209	7	4	False	False
67	COL6A2_SDC1	COL6A2 - SDC1	COLLAGEN	ECM-Receptor	brain	ligand_tumour__receptor_immune	COL6A2	SDC1	COL6A2	SDC1	LB	TIME-B	primary	8	0.5476190476190477	0.5476190476190477	0.1600256425388966	4	0.5				below_min_n (4 < 6)	COL6A2:20/27	SDC1:5/8	secreted	False	True	KEGG: hsa04512	0.8430957446808511	10000	0.18988101189881013	6	4	False	False
68	LPAR2_ADGRE5	LPAR2 - ADGRE5	ADGRE	Cell-Cell Contact	brain	ligand_tumour__receptor_immune	LPAR2	ADGRE5	LPAR2	ADGRE5	LB	TIME-B	primary	8	-0.5476190476190477	0.5476190476190477	0.1600256425388966	7	0.875	-0.3214285714285715	0.4820720382996776	0.22619047619047616	fitted	LPAR2:24/27	ADGRE5:7/8		True	True	PMID: 31462748	0.8430957446808511	10000	0.16448355164483552	5	7	False	False
69	ANGPTL4_CDH11	ANGPTL4 - CDH11	ANGPTL	Secreted Signaling	brain	ligand_tumour__receptor_immune	ANGPTL4	CDH11	ANGPTL4	CDH11	LB	TIME-B	primary	8	0.5476190476190477	0.5476190476190477	0.1600256425388966	5	0.625				below_min_n (5 < 6)	ANGPTL4:14/27	CDH11:8/8				PMID: 30049845	0.8430957446808511	10000	0.16448355164483552	5	7	False	False
70	CD99_PILRB	Cd99 - Pilrb	CD99	Cell-Cell Contact	brain	ligand_immune__receptor_tumour	CD99	PILRB	CD99	PILRB	TIME-B	LB	primary	8	-0.5476190476190477	0.5476190476190477	0.1600256425388966	8	1.0	-0.5476190476190477	0.1600256425388966	0.0	fitted	CD99:8/8	PILRB:26/27		True	True	uniprot;PMID:18234675	0.8430957446808511	10000	0.1670832916708329	8	8	False	False
71	CD55_ADGRE5	CD55 - ADGRE5	ADGRE	Cell-Cell Contact	brain	ligand_immune__receptor_tumour	CD55	ADGRE5	CD55	ADGRE5	TIME-B	LB	primary	8	0.5476190476190477	0.5476190476190477	0.1600256425388966	5	0.625				below_min_n (5 < 6)	CD55:6/8	ADGRE5:23/27	secreted	True	True	PMID: 31462748	0.8430957446808511	10000	0.1964803519648035	7	6	False	False
72	TNC_SDC4	TNC - SDC4	TENASCIN	ECM-Receptor	brain	ligand_immune__receptor_tumour	TNC	SDC4	TNC	SDC4	TIME-B	LB	primary	8	-0.5476190476190477	0.5476190476190477	0.1600256425388966	7	0.875	-0.42857142857142866	0.3373683110858241	0.11904761904761901	fitted	TNC:8/8	SDC4:26/27	secreted	False		KEGG: hsa04512	0.8430957446808511	10000	0.16328367163283672	8	7	False	False
73	COL6A2_CD44	COL6A2 - CD44	COLLAGEN	ECM-Receptor	brain	ligand_tumour__receptor_immune	COL6A2	CD44	COL6A2	CD44	LB	TIME-B	primary	8	0.5476190476190477	0.5476190476190478	0.1600256425388966	6	0.75	0.6	0.208	0.052380952380952306	fitted	COL6A2:20/27	CD44:8/8	secreted	False	True	KEGG: hsa04512	0.8430957446808511	10000	0.16718328167183283	6	8	False	False
74	HLA-DPA1_CD4	HLA-DPA1 - CD4	MHC-II	Cell-Cell Contact	brain	ligand_tumour__receptor_immune	HLA-DPA1	CD4	HLA-DPA1	CD4	LB	TIME-B	primary	8	0.5476190476190477	0.5476190476190477	0.1600256425388966	6	0.75	0.3714285714285715	0.4684781341107872	-0.17619047619047618	fitted	HLA-DPA1:18/27	CD4:8/8				KEGG: hsa04514	0.8430957446808511	10000	0.1670832916708329	8	8	False	False
78	PRNP_ADGRG6	PRNP - ADGRG6	ADGRG	Cell-Cell Contact	brain	ligand_immune__receptor_tumour	PRNP	ADGRG6	PRNP	ADGRG6	TIME-B	LB	primary	8	0.523809523809524	0.523809523809524	0.18272075053971482	6	0.75	0.3142857142857143	0.5440932944606415	-0.20952380952380967	fitted	PRNP:8/8	ADGRG6:18/27		False	True	PMID: 31462748	0.8430957446808511	10000	0.148985101489851	4	7	False	False
79	MDK_SDC4	MDK - SDC4	MK	Secreted Signaling	brain	ligand_tumour__receptor_immune	MDK	SDC4	MDK	SDC4	LB	TIME-B	primary	8	0.523809523809524	0.5238095238095238	0.18272075053971482	5	0.625				below_min_n (5 < 6)	MDK:22/27	SDC4:5/8	growth factor	False		PMID: 28356350	0.8430957446808511	10000	0.18698130186981302	9	4	False	False
80	COL6A3_CD44	COL6A3 - CD44	COLLAGEN	ECM-Receptor	brain	ligand_immune__receptor_tumour	COL6A3	CD44	COL6A3	CD44	TIME-B	LB	primary	8	-0.523809523809524	0.5238095238095238	0.18272075053971482	7	0.875	-0.3571428571428572	0.43161135203832796	0.16666666666666674	fitted	COL6A3:8/8	CD44:25/27	secreted	False	True	KEGG: hsa04512	0.8430957446808511	10000	0.2556744325567443	7	9	False	False
81	COL9A2_CD44	COL9A2 - CD44	COLLAGEN	ECM-Receptor	brain	ligand_tumour__receptor_immune	COL9A2	CD44	COL9A2	CD44	LB	TIME-B	primary	8	-0.523809523809524	0.523809523809524	0.18272075053971482	6	0.75	-0.48571428571428577	0.3287230320699708	0.03809523809523818	fitted	COL9A2:17/27	CD44:8/8	secreted	False	True	KEGG: hsa04512	0.8430957446808511	10000	0.1733826617338266	5	8	False	False
82	DLL3_NOTCH3	DLL3 - NOTCH3	NOTCH	Cell-Cell Contact	brain	ligand_tumour__receptor_immune	DLL3	NOTCH3	DLL3	NOTCH3	LB	TIME-B	primary	8	0.523809523809524	0.523809523809524	0.18272075053971482	6	0.75	0.3714285714285715	0.4684781341107872	-0.15238095238095245	fitted	DLL3:20/27	NOTCH3:8/8		True	True	PMID: 22353464	0.8430957446808511	10000	0.1730826917308269	3	8	False	False
83	MDK_NCL	MDK - NCL	MK	Secreted Signaling	brain	ligand_immune__receptor_tumour	MDK	NCL	MDK	NCL	TIME-B	LB	primary	8	0.523809523809524	0.523809523809524	0.18272075053971482	8	1.0	0.523809523809524	0.18272075053971482	0.0	fitted	MDK:8/8	NCL:26/27	growth factor	False		PMID: 28356350	0.8430957446808511	10000	0.19638036196380362	9	6	False	False
85	ANXA1_FPR3	ANXA1 - FPR3	ANNEXIN	Secreted Signaling	brain	ligand_tumour__receptor_immune	ANXA1	FPR3	ANXA1	FPR3	LB	TIME-B	primary	8	0.5000000000000001	0.5000000000000001	0.20703124999999997	6	0.75	0.5428571428571429	0.26570262390670546	0.042857142857142816	fitted	ANXA1:25/27	FPR3:7/8	secreted	False	True	PMID: 33082511	0.8430957446808511	10000	0.2522747725227477	9	5	False	False
86	DLL3_NOTCH3	DLL3 - NOTCH3	NOTCH	Cell-Cell Contact	brain	ligand_immune__receptor_tumour	DLL3	NOTCH3	DLL3	NOTCH3	TIME-B	LB	primary	8	-0.5000000000000001	0.5000000000000001	0.20703124999999997	4	0.5				below_min_n (4 < 6)	DLL3:4/8	NOTCH3:25/27		True	True	PMID: 22353464	0.8430957446808511	10000	0.19048095190480951	7	2	False	False
87	COL6A1_CD44	COL6A1 - CD44	COLLAGEN	ECM-Receptor	brain	ligand_tumour__receptor_immune	COL6A1	CD44	COL6A1	CD44	LB	TIME-B	primary	8	0.5000000000000001	0.5000000000000001	0.20703124999999997	8	1.0	0.5000000000000001	0.20703124999999997	0.0	fitted	COL6A1:27/27	CD44:8/8	secreted	False	True	KEGG: hsa04512	0.8430957446808511	10000	0.19978002199780023	8	8	False	False
88	JAG2_NOTCH2	JAG2 - NOTCH2	NOTCH	Cell-Cell Contact	brain	ligand_tumour__receptor_immune	JAG2	NOTCH2	JAG2	NOTCH2	LB	TIME-B	primary	8	-0.5000000000000001	0.5000000000000001	0.20703124999999997	7	0.875	-0.5357142857142858	0.21521745567801284	-0.0357142857142857	fitted	JAG2:20/27	NOTCH2:8/8		True	True	PMID: 22353464	0.8430957446808511	10000	0.2512748725127487	6	5	False	False
89	THBS3_SDC1	THBS3 - SDC1	THBS	ECM-Receptor	brain	ligand_tumour__receptor_immune	THBS3	SDC1	THBS3	SDC1	LB	TIME-B	primary	8	-0.5000000000000001	0.5	0.20703124999999997	5	0.625				below_min_n (5 < 6)	THBS3:27/27	SDC1:5/8			True	KEGG: hsa04512	0.8430957446808511	10000	0.2298770122987701	6	4	False	False
97	GAS6_TYRO3	GAS6 - TYRO3	GAS	Secreted Signaling	brain	ligand_immune__receptor_tumour	GAS6	TYRO3	GAS6	TYRO3	TIME-B	LB	primary	8	-0.4761904761904762	0.4761904761904763	0.23293553465009806	4	0.5				below_min_n (4 < 6)	GAS6:7/8	TYRO3:16/27	secreted	False	True	PMID: 27801848	0.8430957446808511	10000	0.262973702629737	2	6	False	False
