cohort	signature	method	group	time_months	survival
TCGA-LUAD	myeloid_m2	zscore	low	8.6735112936344976	0.90428343498066288
TCGA-LUAD	myeloid_m2	zscore	low	8.8049281314168386	0.89997732338551684
TCGA-LUAD	myeloid_m2	zscore	low	9.0349075975359341	0.89567121179037079
TCGA-LUAD	myeloid_m2	zscore	low	9.2320328542094447	0.89136510019522475
TCGA-LUAD	myeloid_m2	zscore	low	9.2648870636550313	0.8870589886000787
TCGA-LUAD	myeloid_m2	zscore	low	9.3634496919917858	0.8870589886000787
TCGA-LUAD	myeloid_m2	zscore	low	9.4291581108829572	0.8870589886000787
TCGA-LUAD	myeloid_m2	zscore	low	9.5605749486652982	0.88271066022458811
TCGA-LUAD	myeloid_m2	zscore	low	9.8562628336755651	0.87836233184909751
TCGA-LUAD	myeloid_m2	zscore	low	9.9548254620123195	0.87401400347360692
TCGA-LUAD	myeloid_m2	zscore	low	10.086242299794661	0.86966567509811632
TCGA-LUAD	myeloid_m2	zscore	low	10.119096509240247	0.86531734672262572
TCGA-LUAD	myeloid_m2	zscore	low	10.184804928131417	0.86531734672262572
TCGA-LUAD	myeloid_m2	zscore	low	10.546201232032855	0.86094705709271346
TCGA-LUAD	myeloid_m2	zscore	low	11.039014373716633	0.8565767674628012
TCGA-LUAD	myeloid_m2	zscore	low	11.170431211498974	0.85220647783288894
TCGA-LUAD	myeloid_m2	zscore	low	11.268993839835728	0.84783618820297668
TCGA-LUAD	myeloid_m2	zscore	low	11.630390143737166	0.84346589857306442
TCGA-LUAD	myeloid_m2	zscore	low	11.991786447638603	0.84346589857306442
TCGA-LUAD	myeloid_m2	zscore	low	12.156057494866531	0.83904984674807459
TCGA-LUAD	myeloid_m2	zscore	low	12.2217659137577	0.83904984674807459
TCGA-LUAD	myeloid_m2	zscore	low	12.320328542094456	0.83461042956951326
TCGA-LUAD	myeloid_m2	zscore	low	12.648870636550308	0.83017101239095203
TCGA-LUAD	myeloid_m2	zscore	low	13.404517453798768	0.83017101239095203
TCGA-LUAD	myeloid_m2	zscore	low	13.437371663244353	0.82568360151316311
TCGA-LUAD	myeloid_m2	zscore	low	13.60164271047228	0.82568360151316311
TCGA-LUAD	myeloid_m2	zscore	low	13.700205338809035	0.82568360151316311
TCGA-LUAD	myeloid_m2	zscore	low	13.733059548254619	0.82568360151316311
TCGA-LUAD	myeloid_m2	zscore	low	13.930184804928132	0.82568360151316311
TCGA-LUAD	myeloid_m2	zscore	low	13.995893223819301	0.82568360151316311
TCGA-LUAD	myeloid_m2	zscore	low	14.258726899383984	0.82104492959454978
TCGA-LUAD	myeloid_m2	zscore	low	14.291581108829568	0.82104492959454978
TCGA-LUAD	myeloid_m2	zscore	low	14.455852156057494	0.82104492959454978
TCGA-LUAD	myeloid_m2	zscore	low	14.521560574948666	0.81635324428258094
TCGA-LUAD	myeloid_m2	zscore	low	14.587268993839835	0.80696987365864326
TCGA-LUAD	myeloid_m2	zscore	low	14.652977412731007	0.80696987365864326
TCGA-LUAD	myeloid_m2	zscore	low	14.718685831622176	0.80696987365864326
TCGA-LUAD	myeloid_m2	zscore	low	15.178644763860369	0.80696987365864326
TCGA-LUAD	myeloid_m2	zscore	low	15.342915811088295	0.80696987365864326
TCGA-LUAD	myeloid_m2	zscore	low	15.375770020533881	0.80216648155353232
TCGA-LUAD	myeloid_m2	zscore	low	15.638603696098563	0.80216648155353232
TCGA-LUAD	myeloid_m2	zscore	low	15.671457905544148	0.80216648155353232
TCGA-LUAD	myeloid_m2	zscore	low	15.704312114989733	0.79730486651381394
TCGA-LUAD	myeloid_m2	zscore	low	15.802874743326489	0.79730486651381394
TCGA-LUAD	myeloid_m2	zscore	low	15.901437371663244	0.79730486651381394
TCGA-LUAD	myeloid_m2	zscore	low	16	0.79730486651381394
TCGA-LUAD	myeloid_m2	zscore	low	16.032854209445585	0.79232171109810257
TCGA-LUAD	myeloid_m2	zscore	low	16.525667351129364	0.78733855568239119
TCGA-LUAD	myeloid_m2	zscore	low	16.854209445585216	0.78733855568239119
TCGA-LUAD	myeloid_m2	zscore	low	16.919917864476385	0.78733855568239119
TCGA-LUAD	myeloid_m2	zscore	low	17.084188911704313	0.78733855568239119
TCGA-LUAD	myeloid_m2	zscore	low	17.44558521560575	0.78733855568239119
TCGA-LUAD	myeloid_m2	zscore	low	17.609856262833677	0.78733855568239119
TCGA-LUAD	myeloid_m2	zscore	low	17.741273100616016	0.78733855568239119
TCGA-LUAD	myeloid_m2	zscore	low	17.774127310061601	0.78733855568239119
TCGA-LUAD	myeloid_m2	zscore	low	17.971252566735114	0.78733855568239119
